,,mean,std
index,,575.6527778,66.9894443
score,0,0.60002083,0.435401466
a,0,1.407527906,0.01115435
a,1,0.392881818,0.073703249
a,2,0.527800297,0.024355947
a,3,0.6227365,0.1435586
k,0,1.041224643,0.157736816
k,1,0.381698005,0.166862203
k,2,0.400640145,0.149359692
k,3,0.512269872,0.132824447
n,0,1.734383321,0.093606641
u,0,0.380989258,0.057892437
b,0,0.11924003,0.007913242
