,,mean,std
index,,575.652777778,66.9894443039
score,0,0.600020829987,0.435401466198
a,0,1.40752790572,0.0111543503758
a,1,0.392881817906,0.073703248987
a,2,0.527800296621,0.0243559473038
a,3,0.622736500245,0.143558600077
k,0,1.04122464335,0.157736816296
k,1,0.38169800482,0.16686220323
k,2,0.400640145367,0.149359691968
k,3,0.512269872318,0.132824446603
n,0,1.73438332051,0.0936066412883
u,0,0.380989257577,0.0578924365755
b,0,0.119240029944,0.00791324204962
