955.3248337,2988.526316
835.7663337,3016.38652
776.5336667,3173.730217
714.0488337,3216.865893
896.8099997,3242.507778
592.6054997,3424.88225
653.1324997,3540.723695
534.8476667,4040.010469
475.9128337,4666.964017
416.6391667,5396.991833
355.2361667,6449.73609
297.5509997,8572.92662
238.6716667,11111.87672
177.735,13664.2762
1,16134.09281
58.947,16150.72015
121.0041667,17009.77831
1477.892667,2947.987106
1410.9935,3128.147629
1775.638834,3151.660667
1714.515667,3214.338308
1004.904167,3237.379219
1599.720834,3424.210019
1298.738167,3435.145359
