,dose,unit,rel exp,layers,value
0,-2.22184874962,0,0.00048213988950419456,1,0.0019008642583351223
1,-2.12969671013,0,0.0006270196682665192,1,0.0024720611229795417
2,-2.03754467064,0,0.00081539975882547345,1,0.0032147604700376829
3,-1.94539263115,0,0.0010603169381773979,1,0.0041803605429979931
4,-1.85324059166,0,0.0013786982877015501,1,0.0054355973342398792
5,-1.76108855217,0,0.0017925105467042038,1,0.0070670759775190257
6,-1.66893651268,0,0.002330241056938122,1,0.0091871094569539839
7,-1.57678447319,0,0.0030288004415385734,1,0.011941220028218021
8,-1.4846324337,0,0.0039359577994712222,1,0.015517740112779271
9,-1.39248039422,0,0.0051134417389699822,1,0.020160038300673463
10,-1.30032835473,0,0.006640862821014777,1,0.026181983809625692
11,-1.20817631524,0,0.0086206303928341391,1,0.033987331384065698
12,-1.11602427575,0,0.011184040870910296,1,0.044093724701215871
13,-1.02387223626,0,0.014498690431649213,1,0.057161921330609267
14,-0.931720196771,0,0.018777288180175,1,0.074030539159201186
15,-0.839568157282,0,0.024287777572345678,1,0.095755960680087293
16,-0.747416117793,0,0.031364357308314168,1,0.12365578349954739
17,-0.655264078304,0,0.040418451574856823,1,0.15935207114869068
18,-0.563112038815,0,0.051947824818263266,1,0.2048072886000688
19,-0.470959999326,0,0.066540796292625284,1,0.26234091836682433
20,-0.378807959837,0,0.084870898078202653,1,0.33460839943270221
21,-0.286655920348,0,0.10767556641414501,1,0.42451711660513269
22,-0.194503880859,0,0.13571119923146355,1,0.53504921225283042
23,-0.10235184137,0,0.16967739407763341,1,0.66896288996393216
24,-0.010199801881,0,0.21010722300192855,1,0.82835981696747463
25,0.081952237608,0,0.25722978378321704,1,1.0141432244397086
26,0.174104277097,0,0.31082612261378251,1,1.2254498743943676
27,0.266256316586,0,0.3701161449431723,1,1.4592041991770048
28,0.358408356075,0,0.43372340257559955,1,1.7099794725702322
29,0.450560395564,0,0.49975564794226579,1,1.9703153996477178
30,0.542712435053,0,0.56600699623739459,1,2.2315151526285923
31,0.634864474542,0,0.63024238052018833,1,2.484766851485428
32,0.727016514031,0,0.69048996070320257,1,2.7222964032071069
33,0.81916855352,0,0.74526360402976433,1,2.9382446438833258
34,0.911320593009,0,0.79366776720605303,1,3.1290808425455978
35,1.0034726325,0,0.83538234063618255,1,3.2935429486919494
36,1.09562467199,0,0.87056089019851479,1,3.4322364046345246
37,1.18777671148,0,0.89968917044389662,1,3.5470763256420015
38,1.27992875096,0,0.92344422734394127,1,3.6407320044169871
39,1.37208079045,0,0.94257844899619947,1,3.7161697743290394
40,1.46423282994,0,0.95783729126346573,1,3.7763286380132843
41,1.55638486943,0,0.96990888829588273,1,3.8239216039542323
42,1.64853690892,0,0.97939880213474617,1,3.8613361353457871
43,1.74068894841,0,0.98682215205342827,1,3.8906031195649282
44,1.8328409879,0,0.99260640330447347,1,3.9134078629676132
45,1.92499302739,0,0.9970998191174304,1,3.9311234133765849
46,2.01714506688,0,1.0005822462842564,1,3.9448530828724699
47,2.10929710637,0,1.0032762217520199,1,3.9554742361746147
48,2.20144914585,0,1.0053573123994319,1,3.9636790558050521
49,2.29360118534,0,1.0069631949824043,1,3.9700103402963522
50,-2.22184874962,1,0.00048213988950419456,1,0.0018794402186767672
51,-2.12969671013,1,0.0006270196682665192,1,0.0024441993041756163
52,-2.03754467064,1,0.00081539975882547345,1,0.0031785279218690299
53,-1.94539263115,1,0.0010603169381773979,1,0.0041332450219045231
54,-1.85324059166,1,0.0013786982877015501,1,0.0053743344364053976
55,-1.76108855217,1,0.0017925105467042038,1,0.0069874252000649926
56,-1.66893651268,1,0.002330241056938122,1,0.0090835644528915582
57,-1.57678447319,1,0.0030288004415385734,1,0.011806634315255141
58,-1.4846324337,1,0.0039359577994712222,1,0.015342844573486314
59,-1.39248039422,1,0.0051134417389699822,1,0.019932820887239706
60,-1.30032835473,1,0.006640862821014777,1,0.025886894953589694
61,-1.20817631524,1,0.0086206303928341391,1,0.033604270924981881
62,-1.11602427575,1,0.011184040870910296,1,0.043596758280525304
63,-1.02387223626,1,0.014498690431649213,1,0.056517667400237961
64,-0.931720196771,1,0.018777288180175,1,0.073196164374194045
65,-0.839568157282,1,0.024287777572345678,1,0.09467672554262889
66,-0.747416117793,1,0.031364357308314168,1,0.12226209828606478
67,-0.655264078304,1,0.040418451574856823,1,0.15755606437074185
68,-0.563112038815,1,0.051947824818263266,1,0.20249897044739276
69,-0.470959999326,1,0.066540796292625284,1,0.25938415687559468
70,-0.378807959837,1,0.084870898078202653,1,0.33083713402643716
71,-0.286655920348,1,0.10767556641414501,1,0.41973251849302734
72,-0.194503880859,1,0.13571119923146355,1,0.52901884186093506
73,-0.10235184137,1,0.16967739407763341,1,0.66142322087829863
74,-0.010199801881,1,0.21010722300192855,1,0.81902363554774382
75,0.081952237608,1,0.25722978378321704,1,1.0027131370126989
76,0.174104277097,1,0.31082612261378251,1,1.2116382165691288
77,0.266256316586,1,0.3701161449431723,1,1.4427579703125686
78,0.358408356075,1,0.43372340257559955,1,1.6907068349399135
79,0.450560395564,1,0.49975564794226579,1,1.9481085981486501
80,0.542712435053,1,0.56600699623739459,1,2.2063644513523175
81,0.634864474542,1,0.63024238052018833,1,2.4567618304353638
82,0.727016514031,1,0.69048996070320257,1,2.6916142617294252
83,0.81916855352,1,0.74526360402976433,1,2.9051286181069038
84,0.911320593009,1,0.79366776720605303,1,3.093813962351001
85,1.0034726325,1,0.83538234063618255,1,3.2564224681316634
86,1.09562467199,1,0.87056089019851479,1,3.3935527540122843
87,1.18777671148,1,0.89968917044389662,1,3.5070983506032549
88,1.27992875096,1,0.92344422734394127,1,3.5996984658536455
