,a,a,a,a,k,k,k,k,b,u,n,dr,dr,dr,dr,dr,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss
,0,1,2,3,0,1,2,3,0,0,0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.39435960656,0.50152281363,0.54559362064,0.55559968027,0.86375044346,0.51979858128,0.52088566161,0.57757300177,0.11932893478,0.47004356967,1.63042649843,1.92724985169,0.924441217963,0.783699701599,0.639017379981,0.599630442653,3.93977069087,1.39053551554,7.68964088173,1.95638404515,6.88300273941,0.0467235989828,11.6847224116,1.26530170708,8.51778629779,1.72957383393,5.953,9.903,27.241,26.634,44.542
1,1.40540681375,0.49570280342,0.53925985532,0.54906219876,0.91237418794,0.54906378804,0.55021729529,0.60997657848,0.12027471326,0.46458994967,1.63045769585,1.92307370463,0.924650238717,0.784043039295,0.640125700581,0.601053336276,3.85744248538,1.38984628303,7.69535974514,1.95075895746,6.9027286265,0.0461796102216,11.6846844992,1.26527765053,8.51781229806,1.72966979409,5.879,9.787,26.932,26.321,44.147
2,1.40394261471,0.49354743595,0.536913204,0.54670094975,0.8935264383,0.5377171545,0.53882807907,0.59740447374,0.12014931182,0.46257069178,1.63045397213,1.92432963777,0.924451784451,0.783723506709,0.63909454428,0.59975735093,3.8622341064,1.39049807786,7.6898920451,1.95604046862,6.8852721037,0.0459796226219,11.6846918854,1.26527356714,8.51778874814,1.72963122208,5.911,9.842,27.062,26.459,44.257
3,1.40490327225,0.49067644919,0.53379139417,0.54350572707,0.90215265656,0.54289767294,0.54401492229,0.6031346446,0.12023138649,0.45988165372,1.63046276213,1.92390662347,0.924461777117,0.783739208276,0.639160258571,0.599857447665,3.83500770771,1.39046775609,7.69014280573,1.95574026299,6.8869401218,0.0457121602333,11.6847059297,1.26526915568,8.51777971218,1.72965824218,5.908,9.829,27.028,26.423,44.21
4,1.41420718403,0.49713711375,0.54081899391,0.55071679753,0.90799981676,0.54644230622,0.54754953628,0.60711894161,0.12102760779,0.4659375527,1.63044598877,1.92033204333,0.924658465525,0.784059804935,0.640196862814,0.601244551239,3.84901080147,1.38982210675,7.69565631993,1.95042862677,6.90547024573,0.0463121962561,11.6847024881,1.2652775354,8.51776001006,1.72959258078,5.843,9.717,26.763,26.162,43.877
5,1.39876854492,0.47787362237,0.5198882465,0.52945027676,0.9255181991,0.5569049403,0.55807425008,0.61888928191,0.11970615,0.44790525332,1.63046088084,1.92685658339,0.924255859636,0.78335686041,0.637960911145,0.598318467005,3.74610484746,1.39114523039,7.6840390221,1.96177614654,6.86539048976,0.0445214449442,11.6847280601,1.26534332663,8.51772774151,1.72954727741,5.966,9.931,27.277,26.675,44.506
6,1.38484011956,0.49597592298,0.53955430299,0.5494464489,0.8757631539,0.52701346376,0.52809774962,0.58561154052,0.1185141845,0.46484462306,1.63043895534,1.93355284691,0.923632891133,0.782404823938,0.634846781126,0.594279055844,3.9419051377,1.39318632886,7.66749965986,1.97772854291,6.81109111638,0.0462068006406,11.6847284177,1.26528977016,8.51775193153,1.72956649495,6.1,10.159,27.857,27.236,45.137
7,1.3973713267,0.47113578542,0.51252651848,0.5218704541,0.94606729504,0.56934891658,0.57051308164,0.63254133397,0.11958680259,0.44155978994,1.63044598983,1.92637621083,0.924445650321,0.783715764984,0.639035657344,0.599636034902,3.69643906272,1.39051973789,7.68967802128,1.95630114952,6.88333981646,0.043891800044,11.6847090116,1.26526099943,8.5177796056,1.72963392063,5.942,9.884,27.196,26.583,44.462
8,1.40681585556,0.48643870639,0.52918755598,0.53883613604,0.9125916715,0.54918683838,0.55034133446,0.61019417805,0.12039507217,0.45591187103,1.63045192595,1.92338693216,0.924457465149,0.783731438261,0.639161522055,0.599874829059,3.79720250994,1.39048120808,7.6901385921,1.95573842594,6.88708204004,0.0453171349667,11.6847030648,1.26529111306,8.51779775237,1.72962499411,5.904,9.815,27.001,26.397,44.163
9,1.42002595918,0.49201978391,0.53524251016,0.54506988147,0.9144318384,0.55033600432,0.55145545859,0.61148395374,0.12152539713,0.46112536751,1.63040859071,1.91843765877,0.924651718575,0.784081299264,0.640294624419,0.601441175711,3.80072178869,1.3898453565,7.69602921348,1.9499913906,6.90841698116,0.0458333760466,11.6847166417,1.26527631428,8.5177815381,1.72955560235,5.813,9.676,26.631,26.04,43.685
10,1.39464104121,0.48525792356,0.5278884906,0.53752394191,0.90824209584,0.54657521401,0.54769388012,0.60717728143,0.1193532266,0.45479049661,1.63044166122,1.92800182234,0.924243631079,0.78339904113,0.638022794337,0.598337746945,3.81913120028,1.39118108091,7.68426705734,1.96151048476,6.86598220155,0.0452070798872,11.6847008402,1.26525812602,8.51780942018,1.72963465499,5.984,9.954,27.347,26.736,44.61
11,1.39543818688,0.49774813905,0.54147457678,0.55139992409,0.86432134275,0.52017631126,0.52122308219,0.57794270357,0.11942127883,0.46649602684,1.63042073611,1.92758475544,0.924242130633,0.783409806889,0.638077168839,0.598469959714,3.91627868273,1.39118782485,7.68450854495,1.96125825701,6.86780496345,0.0463707598905,11.6847172358,1.26526651119,8.51778085765,1.72956945143,5.967,9.936,27.311,26.705,44.556
12,1.39894402394,0.48538572847,0.5280297205,0.53774680948,0.91362111198,0.54983545502,0.55095212454,0.6109512047,0.11972123118,0.4549089156,1.63040423312,1.92576146805,0.924438236675,0.78371906289,0.639082144417,0.599773976361,3.81452630748,1.39054526955,7.68989254197,1.95609186037,6.88507878851,0.0452193311582,11.6847241755,1.26528669533,8.51778281176,1.72952425755,5.933,9.869,27.145,26.538,44.394
13,1.410950252,0.48486363723,0.52746022268,0.53714745875,0.92470722185,0.55651206934,0.55762251796,0.61834079664,0.12074868515,0.45442346831,1.63042025512,1.92134557826,0.924647905641,0.784053449347,0.640156302552,0.601188578481,3.76364649646,1.38985821403,7.69551616106,1.95061107811,6.90441837231,0.0451684017066,11.6847220506,1.26527300146,8.51776118334,1.72955158919,5.86,9.741,26.824,26.221,43.977
14,1.41156334202,0.46593194463,0.50688047664,0.51610391889,0.97310122841,0.58556553855,0.58676975126,0.6505315638,0.12080149716,0.43670310517,1.63048751262,1.92116678251,0.924672746863,0.784057869354,0.640193114206,0.601188775442,3.62318568524,1.38977478232,7.69565616857,1.95044393587,6.90486471304,0.0434074355025,11.6846889626,1.26528323966,8.51776454578,1.72966884108,5.853,9.74,26.81,26.208,43.959
15,1.40173133317,0.47980485211,0.52196125465,0.53157050742,0.93101756964,0.5603197479,0.56145091045,0.62264593471,0.11995972749,0.44968903953,1.63041909638,1.92576523382,0.924242800816,0.783402844447,0.638086374391,0.598534829334,3.75912096701,1.3911865889,7.68455879794,1.9612090514,6.86863963309,0.0446987851106,11.6847248504,1.26529504343,8.51774209433,1.72951719008,5.947,9.897,27.202,26.592,44.39
