,score,a,a,a,a,k,k,k,k,b,b,u,n
,0,0,1,2,3,0,1,2,3,0,1,0,0
,,,,,,,,,,,,,
0,59.58816741,0.844111372,0.439122296,0.339565227,0.564540945,0.469591358,1.065559801,1.315757838,1.442825077,0.059868517,0.129553595,0.198191047,1.218812635
1,59.58816741,0.844111372,0.439122296,0.339565227,0.564540945,0.469591358,1.065559801,1.315757838,1.442825077,0.059868517,0.129553595,0.198191047,1.218812635
2,41.18800997,0.689521953,0.343670004,0.972104765,1.393738565,0.737448275,0.363280101,0.326884278,0.987830681,0.07614639,0.111106017,0.149900396,1.360602667
3,41.18800997,0.689521953,0.343670004,0.972104765,1.393738565,0.737448275,0.363280101,0.326884278,0.987830681,0.07614639,0.111106017,0.149900396,1.360602667
4,16.16851923,0.822879973,0.2765259,0.220970949,0.436870896,1.050340975,0.94783165,0.222022651,1.058594635,0.115778948,0.067074208,0.300359317,1.667888377
5,16.16851923,0.822879973,0.2765259,0.220970949,0.436870896,1.050340975,0.94783165,0.222022651,1.058594635,0.115778948,0.067074208,0.300359317,1.667888377
6,11.07546414,1.102019332,0.739731292,1.303845703,1.315021543,0.462317838,0.547976622,0.416487047,0.545687502,0.098750932,0.103468171,0.510266773,1.546719435
7,11.07546414,1.102019332,0.739731292,1.303845703,1.315021543,0.462317838,0.547976622,0.416487047,0.545687502,0.098750932,0.103468171,0.510266773,1.546719435
8,3.913588017,1.24462065,1.114994593,0.980025401,0.898378079,0.721750198,1.44366496,1.081997613,0.401760141,0.108472479,0.107262773,0.568889825,1.305009863
9,3.913588017,1.24462065,1.114994593,0.980025401,0.898378079,0.721750198,1.44366496,1.081997613,0.401760141,0.108472479,0.107262773,0.568889825,1.305009863
10,3.337972085,1.267933902,0.492977437,0.883459929,0.635019076,1.417010503,0.757054471,0.585124471,0.414439355,0.109542378,0.113320438,0.573427007,1.389819942
11,3.337972085,1.267933902,0.492977437,0.883459929,0.635019076,1.417010503,0.757054471,0.585124471,0.414439355,0.109542378,0.113320438,0.573427007,1.389819942
12,3.319814236,1.384400729,0.723098608,0.709561772,1.074382406,0.995468333,1.269940934,0.967142273,1.188540646,0.117323719,0.112312912,0.592470976,1.251911975
13,3.319814236,1.384400729,0.723098608,0.709561772,1.074382406,0.995468333,1.269940934,0.967142273,1.188540646,0.117323719,0.112312912,0.592470976,1.251911975
14,2.611088608,1.169675559,0.406185864,0.514861503,1.076846018,1.48632311,0.89102735,0.624250574,1.446414939,0.096399996,0.095827459,0.436633128,1.429266442
15,2.611088608,1.169675559,0.406185864,0.514861503,1.076846018,1.48632311,0.89102735,0.624250574,1.446414939,0.096399996,0.095827459,0.436633128,1.429266442
16,1.887497591,1.297617586,0.645573872,0.773372506,0.536298959,0.92529265,0.756625762,0.652633705,0.552863489,0.111151557,0.11401568,0.460658943,1.41850879
17,1.887497591,1.297617586,0.645573872,0.773372506,0.536298959,0.92529265,0.756625762,0.652633705,0.552863489,0.111151557,0.11401568,0.460658943,1.41850879
18,1.867832042,1.231371769,0.511349477,0.719090376,0.551616124,0.942020196,0.744136931,1.327684593,1.075819664,0.108617626,0.111018849,0.415592107,1.428250371
