,score,a,a,a,a,k,k,k,k,b,b,u,n
,0,0,1,2,3,0,1,2,3,0,1,0,0
,,,,,,,,,,,,,
0,147.3423616,0.948474772,0.260322239,1.051279062,1.012606991,0.609404606,0.878331334,1.118091122,1.353232456,0.062494037,0.061332335,0.401337565,1.543933357
1,147.3423616,0.948474772,0.260322239,1.051279062,1.012606991,0.609404606,0.878331334,1.118091122,1.353232456,0.062494037,0.061332335,0.401337565,1.543933357
2,27.50004227,0.888826307,1.019283499,0.648163437,1.448148398,1.177589547,1.144873908,0.991417823,0.29164104,0.078434624,0.07289283,0.42102473,1.616675093
3,27.50004227,0.888826307,1.019283499,0.648163437,1.448148398,1.177589547,1.144873908,0.991417823,0.29164104,0.078434624,0.07289283,0.42102473,1.616675093
4,19.33909861,0.828569124,0.97683924,1.364915537,1.384215901,0.657455064,0.974533668,1.242561723,0.817471609,0.11523159,0.098435492,0.558300359,1.311560056
5,19.33909861,0.828569124,0.97683924,1.364915537,1.384215901,0.657455064,0.974533668,1.242561723,0.817471609,0.11523159,0.098435492,0.558300359,1.311560056
6,15.53598848,0.784018836,0.953125439,0.445509779,0.598987784,0.330461184,1.067064406,0.258455748,0.521438761,0.116661952,0.098047895,0.407274668,1.59082374
7,15.53598848,0.784018836,0.953125439,0.445509779,0.598987784,0.330461184,1.067064406,0.258455748,0.521438761,0.116661952,0.098047895,0.407274668,1.59082374
8,14.63499009,0.905718205,0.656508322,1.06904678,0.334222506,0.502448908,0.676631137,1.19950141,0.918167133,0.090436882,0.129051316,0.557883204,1.682461057
9,14.63499009,0.905718205,0.656508322,1.06904678,0.334222506,0.502448908,0.676631137,1.19950141,0.918167133,0.090436882,0.129051316,0.557883204,1.682461057
10,11.75638398,0.908201241,0.259482898,0.499567499,0.755854288,1.386251725,0.541575251,1.046524462,0.610354259,0.078310312,0.075798191,0.233888261,1.484825834
11,11.75638398,0.908201241,0.259482898,0.499567499,0.755854288,1.386251725,0.541575251,1.046524462,0.610354259,0.078310312,0.075798191,0.233888261,1.484825834
12,9.353362232,0.942732794,0.772083698,1.254065818,1.140377795,0.397194434,1.337880177,1.302935271,1.047131826,0.102019103,0.091735702,0.376143203,1.352402925
13,9.353362232,0.942732794,0.772083698,1.254065818,1.140377795,0.397194434,1.337880177,1.302935271,1.047131826,0.102019103,0.091735702,0.376143203,1.352402925
14,8.75598695,0.979195859,0.65737044,1.095870313,0.978006736,0.392747853,0.789697602,1.387763543,1.417710497,0.092753128,0.110845059,0.590674496,1.278172172
15,8.75598695,0.979195859,0.65737044,1.095870313,0.978006736,0.392747853,0.789697602,1.387763543,1.417710497,0.092753128,0.110845059,0.590674496,1.278172172
16,6.909452375,1.088837117,0.349398779,0.776713784,1.16538066,1.14870527,0.360877287,0.789225424,1.335630403,0.081142656,0.098817542,0.447790149,1.408902595
17,6.909452375,1.088837117,0.349398779,0.776713784,1.16538066,1.14870527,0.360877287,0.789225424,1.335630403,0.081142656,0.098817542,0.447790149,1.408902595
18,6.247214639,0.990553678,0.418809178,0.368307775,0.938142617,1.056559417,1.094044471,0.931881598,0.930609588,0.084819555,0.087164636,0.379854327,1.540733525
