,score,a,a,a,a,k,k,k,k,b,b,u,n
,0,0,1,2,3,0,1,2,3,0,1,0,0
,,,,,,,,,,,,,
0,18.75262716,0.85930833,0.992271767,1.13064506,1.419118379,1.371808708,1.466629057,0.722194885,1.331996736,0.081366312,0.084577265,0.302020622,1.347691989
1,18.75262716,0.85930833,0.992271767,1.13064506,1.419118379,1.371808708,1.466629057,0.722194885,1.331996736,0.081366312,0.084577265,0.302020622,1.347691989
2,11.44650985,1.174917806,1.441151242,1.313434089,1.281140891,0.677428068,0.839043731,1.015779314,1.336362329,0.107150543,0.102200235,0.740256754,1.037587101
3,11.44650985,1.174917806,1.441151242,1.313434089,1.281140891,0.677428068,0.839043731,1.015779314,1.336362329,0.107150543,0.102200235,0.740256754,1.037587101
4,9.970038797,1.19420204,0.529257172,1.268101428,1.145542948,1.266275438,1.146153065,0.997016984,1.102004031,0.095642323,0.094513422,0.613513974,1.222631957
5,9.970038797,1.19420204,0.529257172,1.268101428,1.145542948,1.266275438,1.146153065,0.997016984,1.102004031,0.095642323,0.094513422,0.613513974,1.222631957
6,4.828360557,1.000572084,0.840668271,0.923310855,1.178422133,0.645845471,0.938171643,0.926463671,1.411760439,0.105810524,0.085214051,0.627747716,1.31940097
7,4.828360557,1.000572084,0.840668271,0.923310855,1.178422133,0.645845471,0.938171643,0.926463671,1.411760439,0.105810524,0.085214051,0.627747716,1.31940097
8,4.422639945,1.153239784,0.507876108,0.565092341,0.467035781,1.235193397,1.08288879,0.690982818,1.006278514,0.087380605,0.094426401,0.396342444,1.366640578
9,4.422639945,1.153239784,0.507876108,0.565092341,0.467035781,1.235193397,1.08288879,0.690982818,1.006278514,0.087380605,0.094426401,0.396342444,1.366640578
10,3.521703089,1.073964825,0.733126516,0.984148705,0.598911486,0.824688119,0.971475956,1.208965368,1.219281016,0.103192507,0.09728199,0.572255913,1.179495252
11,3.521703089,1.073964825,0.733126516,0.984148705,0.598911486,0.824688119,0.971475956,1.208965368,1.219281016,0.103192507,0.09728199,0.572255913,1.179495252
12,2.782748658,1.246014595,0.717071723,1.304085908,1.214464257,0.751310789,0.440979132,0.859053421,0.949745596,0.104801837,0.108162775,0.699265206,1.279745458
13,2.782748658,1.246014595,0.717071723,1.304085908,1.214464257,0.751310789,0.440979132,0.859053421,0.949745596,0.104801837,0.108162775,0.699265206,1.279745458
14,2.146621727,1.128173336,1.115289481,1.0365579,0.913664784,0.706911879,1.063606971,0.541779653,0.55839811,0.104004563,0.100546467,0.6175631,1.36186739
15,2.146621727,1.128173336,1.115289481,1.0365579,0.913664784,0.706911879,1.063606971,0.541779653,0.55839811,0.104004563,0.100546467,0.6175631,1.36186739
16,1.989053302,1.188897501,0.98365011,0.669060482,0.932288839,0.750561049,1.324115408,0.535965791,1.081271519,0.10989833,0.104725587,0.503466599,1.30742876
17,1.989053302,1.188897501,0.98365011,0.669060482,0.932288839,0.750561049,1.324115408,0.535965791,1.081271519,0.10989833,0.104725587,0.503466599,1.30742876
18,1.915296884,1.228757464,0.679239913,0.600308059,0.615172927,0.849775427,1.086540388,0.564322156,0.774301624,0.106572342,0.103587161,0.450700214,1.390785162
