,score,a,a,a,a,k,k,k,k,b,b,u,n
,0,0,1,2,3,0,1,2,3,0,1,0,0
,,,,,,,,,,,,,
0,20.33672043,0.88207705,1.001696508,0.7295536,0.793903884,0.466389458,0.518503453,0.387492006,0.499544901,0.105607024,0.09633526,0.443478298,1.402291036
1,20.33672043,0.88207705,1.001696508,0.7295536,0.793903884,0.466389458,0.518503453,0.387492006,0.499544901,0.105607024,0.09633526,0.443478298,1.402291036
2,7.358758227,1.265230885,1.049946083,1.170089855,0.383025911,1.366941192,1.04937103,1.179994433,0.640158478,0.108658122,0.101108271,0.530279178,1.342456117
3,7.358758227,1.265230885,1.049946083,1.170089855,0.383025911,1.366941192,1.04937103,1.179994433,0.640158478,0.108658122,0.101108271,0.530279178,1.342456117
4,7.002833935,1.280562335,0.627343809,0.721583699,0.846208205,0.376024945,0.287175331,0.667000773,1.216669424,0.116914329,0.100218203,0.539109391,1.599388158
5,7.002833935,1.280562335,0.627343809,0.721583699,0.846208205,0.376024945,0.287175331,0.667000773,1.216669424,0.116914329,0.100218203,0.539109391,1.599388158
6,5.999109093,1.120478296,0.552468072,1.417465417,1.103221381,0.872124521,0.653343083,0.884813759,0.899072542,0.115348184,0.105345857,0.371484659,1.347446894
7,5.999109093,1.120478296,0.552468072,1.417465417,1.103221381,0.872124521,0.653343083,0.884813759,0.899072542,0.115348184,0.105345857,0.371484659,1.347446894
8,5.650773767,1.06404065,0.754120849,1.232246686,0.80820693,1.111913401,1.497764474,0.935690471,1.141140871,0.106762259,0.10173942,0.379599116,1.221590185
9,5.650773767,1.06404065,0.754120849,1.232246686,0.80820693,1.111913401,1.497764474,0.935690471,1.141140871,0.106762259,0.10173942,0.379599116,1.221590185
10,5.177982884,1.336312073,0.938015738,1.229883775,0.867516507,1.013382289,1.201012535,1.276000111,1.13458118,0.105841299,0.103100828,0.573645145,1.284737869
11,5.177982884,1.336312073,0.938015738,1.229883775,0.867516507,1.013382289,1.201012535,1.276000111,1.13458118,0.105841299,0.103100828,0.573645145,1.284737869
12,4.258707036,1.021978803,0.92460551,0.989073234,1.06463783,0.824993662,1.110712777,0.880953732,1.372845744,0.09737474,0.077145424,0.416046195,1.205753597
13,4.258707036,1.021978803,0.92460551,0.989073234,1.06463783,0.824993662,1.110712777,0.880953732,1.372845744,0.09737474,0.077145424,0.416046195,1.205753597
14,3.805298943,1.330110811,0.63933068,0.649156504,1.143074711,1.106799664,1.163551995,0.398508681,1.158148144,0.102239524,0.114060356,0.492001398,1.332720124
15,3.805298943,1.330110811,0.63933068,0.649156504,1.143074711,1.106799664,1.163551995,0.398508681,1.158148144,0.102239524,0.114060356,0.492001398,1.332720124
16,2.565869608,1.253253234,0.745284372,0.681598597,1.129940034,0.651443925,0.480533138,0.348917627,0.848789648,0.109486964,0.102792092,0.507937677,1.53121008
17,2.565869608,1.253253234,0.745284372,0.681598597,1.129940034,0.651443925,0.480533138,0.348917627,0.848789648,0.109486964,0.102792092,0.507937677,1.53121008
18,2.339637193,1.286893547,1.095794139,0.920198389,0.808230643,0.627392006,0.870291746,0.597956714,0.78445079,0.104305573,0.110574203,0.560087506,1.377064654
