,sample,layer,time-to-half-max (min)
255,8,16,3985.0
256,8,17,4175.0
257,8,18,4365.0
258,8,19,4555.0
259,8,20,4747.5
260,8,21,4937.5
261,8,22,5127.5
262,8,23,5317.5
263,8,24,5510.0
264,8,25,5702.5
265,8,26,5900.0
266,8,27,6042.5
267,8,28,6462.5
268,8,29,6247.5
269,8,30,8510.0
270,9,1,297.5
271,9,2,590.0
272,9,3,600.0
273,9,4,930.0
274,9,5,922.5
275,9,6,1440.0
276,9,7,1465.0
277,9,8,1867.5
278,9,9,1872.5
279,9,10,2212.5
280,9,11,2090.0
281,9,12,2252.5
282,9,13,2337.5
283,9,14,2547.5
284,9,15,2645.0
285,9,16,2797.5
286,9,17,2980.0
287,9,18,3177.5
288,9,19,3355.0
289,9,20,3550.0
290,9,21,3732.5
291,9,22,3930.0
292,9,23,4115.0
293,9,24,4320.0
294,9,25,4510.0
295,9,26,4710.0
296,9,27,4905.0
297,9,28,5097.5
298,9,29,5290.0
299,9,30,5482.5
300,10,1,242.5
301,10,2,525.0
302,10,3,535.0
303,10,4,1002.5
304,10,5,1075.0
305,10,6,1410.0
306,10,7,1395.0
307,10,8,1967.5
308,10,9,2222.5
309,10,10,2547.5
310,10,11,2792.5
311,10,12,3000.0
312,10,13,3190.0
313,10,14,3392.5
314,10,15,3582.5
315,10,16,3780.0
316,10,17,3975.0
317,10,18,4167.5
318,10,19,4357.5
319,10,20,4550.0
320,10,21,4742.5
321,10,22,4935.0
322,10,23,5125.0
323,10,24,5317.5
324,10,25,5510.0
325,10,26,5702.5
326,10,27,5895.0
327,10,28,6085.0
328,10,29,6282.5
329,10,30,6467.5
330,11,1,315.0
331,11,2,640.0
332,11,3,640.0
333,11,4,940.0
334,11,5,1005.0
335,11,6,1310.0
336,11,7,1242.5
337,11,8,1345.0
338,11,9,1510.0
339,11,10,1692.5
340,11,11,1880.0
341,11,12,2070.0
342,11,13,2262.5
343,11,14,2452.5
344,11,15,2645.0
345,11,16,2837.5
346,11,17,3027.5
347,11,18,3220.0
348,11,19,3412.5
349,11,20,3602.5
350,11,21,3795.0
351,11,22,3987.5
352,11,23,4177.5
353,11,24,4370.0
354,11,25,4562.5
355,11,26,4750.0
356,11,27,4945.0
357,11,28,5180.0
358,11,29,5305.0
359,11,30,5530.0
360,12,1,287.5
361,12,2,672.5
362,12,3,700.0
363,12,4,1057.5
364,12,5,902.5
365,12,6,1162.5
366,12,7,1227.5
367,12,8,1602.5
368,12,9,1695.0
369,12,10,2042.5
370,12,11,2010.0
371,12,12,2420.0
372,12,13,2415.0
373,12,14,2817.5
374,12,15,2657.5
375,12,16,2842.5
376,12,17,2912.5
377,12,18,3152.5
378,12,19,3202.5
379,12,20,3392.5
380,12,21,3502.5
381,12,22,3667.5
382,12,23,3840.0
383,12,24,4020.0
384,12,25,4212.5
385,12,26,4405.0
386,12,27,4595.0
387,12,28,4787.5
388,12,29,4980.0
389,12,30,5172.5
390,13,1,265.0
391,13,2,717.5
392,13,3,982.5
393,13,4,1230.0
394,13,5,1355.0
395,13,6,1650.0
396,13,7,1787.5
397,13,8,2057.5
398,13,9,2160.0
399,13,10,2410.0
400,13,11,2520.0
401,13,12,2747.5
402,13,13,2875.0
403,13,14,3120.0
404,13,15,3202.5
405,13,16,3397.5
406,13,17,3535.0
407,13,18,3802.5
408,13,19,3960.0
409,13,20,4245.0
410,13,21,4370.0
411,13,22,4677.5
412,13,23,4827.5
413,13,24,5102.5
414,13,25,5165.0
415,13,26,5382.5
416,13,27,5462.5
417,13,28,5612.5
418,13,29,5792.5
419,13,30,5995.0
420,14,1,257.5
421,14,2,567.5
422,14,3,515.0
423,14,4,847.5
424,14,5,892.5
425,14,6,1285.0
426,14,7,1112.5
427,14,8,1600.0
428,14,9,1382.5
429,14,10,1712.5
430,14,11,1547.5
431,14,12,1752.5
432,14,13,1732.5
433,14,14,1935.0
434,14,15,2010.0
435,14,16,2215.0
436,14,17,2295.0
437,14,18,2435.0
438,14,19,2622.5
439,14,20,2815.0
440,14,21,3002.5
441,14,22,3192.5
442,14,23,3382.5
443,14,24,3575.0
444,14,25,3765.0
445,14,26,3957.5
446,14,27,4147.5
447,14,28,4350.0
448,14,29,4487.5
449,14,30,4702.5
450,15,1,287.5
451,15,2,692.5
452,15,3,910.0
453,15,4,1222.5
454,15,5,1415.0
455,15,6,1685.0
456,15,7,1907.5
457,15,8,2107.5
458,15,9,2295.0
459,15,10,2490.0
460,15,11,2677.5
461,15,12,2870.0
462,15,13,3055.0
463,15,14,3252.5
464,15,15,3432.5
465,15,16,3622.5
466,15,17,3810.0
467,15,18,4005.0
468,15,19,4190.0
469,15,20,4380.0
470,15,21,4567.5
471,15,22,4760.0
472,15,23,4950.0
473,15,24,5142.5
474,15,25,5330.0
475,15,26,5522.5
476,15,27,5712.5
477,15,28,5907.5
478,15,29,6102.5
479,15,30,6292.5
480,16,1,300.0
481,16,2,597.5
482,16,3,612.5
483,16,4,845.0
484,16,5,915.0
485,16,6,1270.0
486,16,7,1345.0
487,16,8,1682.5
488,16,9,1767.5
489,16,10,2117.5
490,16,11,2107.5
491,16,12,2345.0
492,16,13,2355.0
493,16,14,2500.0
494,16,15,2645.0
495,16,16,2855.0
496,16,17,2995.0
497,16,18,3187.5
498,16,19,3350.0
499,16,20,3557.5
500,16,21,3735.0
501,16,22,3940.0
502,16,23,4120.0
503,16,24,4340.0
504,16,25,4540.0
505,16,26,4737.5
506,16,27,4932.5
507,16,28,5125.0
508,16,29,5317.5
509,16,30,5510.0
510,17,1,270.0
511,17,2,710.0
512,17,3,770.0
513,17,4,1292.5
514,17,5,1542.5
515,17,6,1857.5
516,17,7,2107.5
517,17,8,2297.5
518,17,9,2487.5
519,17,10,2680.0
520,17,11,2870.0
521,17,12,3060.0
522,17,13,3250.0
523,17,14,3440.0
524,17,15,3630.0
525,17,16,3822.5
526,17,17,4012.5
527,17,18,4197.5
528,17,19,4390.0
529,17,20,4567.5
530,17,21,4755.0
531,17,22,7547.5
532,17,23,5762.5
533,17,24,5300.0
534,17,25,5327.5
535,17,26,6425.0
536,17,27,5995.0
537,17,28,6185.0
538,17,29,5777.5
539,17,30,6740.0
540,18,1,245.0
541,18,2,630.0
542,18,3,700.0
543,18,4,1205.0
544,18,5,1357.5
545,18,6,1775.0
546,18,7,1955.0
547,18,8,2272.5
548,18,9,2425.0
549,18,10,2765.0
550,18,11,3025.0
551,18,12,3217.5
552,18,13,3407.5
553,18,14,3600.0
554,18,15,3790.0
555,18,16,3982.5
556,18,17,4172.5
557,18,18,4365.0
558,18,19,4555.0
559,18,20,4747.5
560,18,21,4940.0
561,18,22,5130.0
562,18,23,5322.5
563,18,24,5515.0
564,18,25,5707.5
565,18,26,5902.5
566,18,27,6082.5
567,18,28,6255.0
568,18,29,6415.0
569,18,30,6765.0
570,19,1,305.0
571,19,2,577.5
572,19,3,687.5
573,19,4,1040.0
574,19,5,982.5
575,19,6,1230.0
576,19,7,1197.5
577,19,8,1380.0
578,19,9,1507.5
579,19,10,1770.0
580,19,11,1825.0
581,19,12,1987.5
582,19,13,2132.5
