treatment,6059,6325,6326,6327
0.0,1927.29518132,73.0223967945,1084.09240299,151.036064207
0.006,1336.11196389,67.6400596966,1334.36003381,136.018237774
0.012,1636.15897996,85.1878034357,1504.95300164,161.902535531
0.024,1594.67530489,33.0983765149,989.642271155,64.9769725566
0.049,1104.26783064,8.87566096309,1002.63020922,151.904594968
0.098,804.339232851,42.2701558495,1321.56487831,211.685264944
0.195,871.410801733,34.1873412134,1130.23740564,123.610924112
0.391,1119.37437979,80.2735035143,831.464855092,185.390540088
0.781,1822.29096254,284.155783293,1027.09361018,424.310919387
1.563,1499.34939907,987.383132668,1635.23792493,954.627441823
3.125,446.077024972,2056.85826193,1725.17901194,1885.83333974
6.25,364.470796331,2548.1021855,1603.5976357,2064.91634886
12.5,164.142516828,2499.19770806,1155.31235147,1888.47412493
25.0,113.409401095,2481.16998165,767.181339781,1803.14366321
37.5,105.985000186,2364.23239219,767.630311762,1820.68591207
50.0,189.274581382,2486.13518403,670.534721134,1599.92093353
75.0,279.783815032,2383.41356756,607.099799038,1758.18032933
100.0,168.355462314,2463.63675191,581.524415144,1617.43284548
