Column1,time,btime,atime,events,conc,FL1.Amean,FL1.Amedian,FL1.Asd,file,strain,treatment,strains
C07,19.026,1060.48,21.903,2893,231.7923243,4409.730038,3932,2261.544181,C07,6326,37.5,6326
D07,28.617,1070.071,29.485,2623,155.695376,9759.738467,9024,4346.061031,D07,6327,37.5,6327
A08,4.018166667,1045.472167,10.452,2507,420.0737265,2652.008377,2429,1818.073088,A08,6059,50,6059
B08,11.283,1052.737,18.814,2904,272.7785084,11239.22142,10582,4491.495568,B08,6325,50,6325
C08,19.78716667,1061.241167,22.417,2911,227.2443404,4219.09069,3837,2078.909062,C08,6326,50,6326
D08,29.5205,1070.9745,29.189,2664,159.1683097,9880.774399,9147,4339.751458,D08,6327,50,6327
A09,4.594666667,1046.048667,7.613,2779,661.194385,2415.980569,2250,1636.807797,A09,6059,75,6059
B09,12.00466667,1053.458667,17.222,2836,288.2406749,11325.40691,10739,4498.978635,B09,6325,75,6325
C09,20.5625,1062.0165,22.963,2943,223.8022814,4063.852192,3658,2043.142566,C09,6326,75,6326
D09,30.4215,1071.8755,22.199,2678,212.8606629,9682.67177,8927,4341.060745,D09,6327,75,6327
A10,5.115,1046.569,10.202,2546,439.4959434,2521.93912,2374,1491.263501,A10,6059,100,6059
B10,12.69766667,1054.151667,16.208,2714,296.0942614,11879.07369,11415.5,4554.716901,B10,6325,100,6325
C10,21.35733333,1062.811333,14.337,2886,349.9030068,4088.991337,3661,2227.840687,C10,6326,100,6326
D10,31.1855,1072.6395,33.135,2597,137.3856002,10155.90065,9425,4403.390033,D10,6327,100,6327
