,n,metric
0,0.6,-0.698805494978
1,0.609409409409,-0.693115108188
2,0.618818818819,-0.687403255284
3,0.628228228228,-0.681670276492
4,0.637637637638,-0.675916509833
5,0.647047047047,-0.670142291248
6,0.656456456456,-0.664347954748
7,0.665865865866,-0.658533832565
8,0.675275275275,-0.652700255313
9,0.684684684685,-0.64684755217
10,0.694094094094,-0.640976051059
11,0.703503503504,-0.635086078852
12,0.712912912913,-0.62917796158
13,0.722322322322,-0.623252024658
14,0.731731731732,-0.617308593127
15,0.741141141141,-0.611347991901
16,0.750550550551,-0.605370546039
17,0.75995995996,-0.59937658103
18,0.769369369369,-0.593366423085
19,0.778778778779,-0.587340399461
20,0.788188188188,-0.581298838789
21,0.797597597598,-0.575242071431
22,0.807007007007,-0.569170429847
23,0.816416416416,-0.563084248989
24,0.825825825826,-0.556983866717
25,0.835235235235,-0.550869624229
26,0.844644644645,-0.544741866524
27,0.854054054054,-0.538600942882
28,0.863463463463,-0.532447207376
29,0.872872872873,-0.526281019407
30,0.882282282282,-0.520102744267
31,0.891691691692,-0.513912753735
32,0.901101101101,-0.507711426697
33,0.910510510511,-0.501499149808
34,0.91991991992,-0.495276318182
35,0.929329329329,-0.489043336115
36,0.938738738739,-0.482800617851
37,0.948148148148,-0.476548588384
38,0.957557557558,-0.470287684298
39,0.966966966967,-0.464018354655
40,0.976376376376,-0.457741061917
41,0.985785785786,-0.451456282923
42,0.995195195195,-0.445164509906
43,1.0046046046,-0.438866251565
44,1.01401401401,-0.432562034176
45,1.02342342342,-0.426252402769
46,1.03283283283,-0.419937922344
47,1.04224224224,-0.413619179151
48,1.05165165165,-0.407296782019
49,1.06106106106,-0.40097136374
50,1.07047047047,-0.394643582516
51,1.07987987988,-0.388314123453
52,1.08928928929,-0.381983700115
53,1.0986986987,-0.375653056135
54,1.10810810811,-0.369322966869
55,1.11751751752,-0.362994241113
56,1.12692692693,-0.35666772286
57,1.13633633634,-0.350344293101
58,1.14574574575,-0.344024871664
59,1.15515515516,-0.337710419091
60,1.16456456456,-0.33140193853
61,1.17397397397,-0.325100477648
62,1.18338338338,-0.318807130557
63,1.19279279279,-0.312523039716
64,1.2022022022,-0.306249397838
65,1.21161161161,-0.299987449739
66,1.22102102102,-0.293738494164
67,1.23043043043,-0.287503885527
68,1.23983983984,-0.281285035582
69,1.24924924925,-0.275083414989
70,1.25865865866,-0.268900554767
71,1.26806806807,-0.262738047611
72,1.27747747748,-0.256597549066
73,1.28688688689,-0.250480778541
74,1.2962962963,-0.244389520155
75,1.30570570571,-0.238325623429
76,1.31511511512,-0.232291003801
77,1.32452452452,-0.226287643001
78,1.33393393393,-0.220317589303
79,1.34334334334,-0.214382957673
80,1.35275275275,-0.20848592988
81,1.36216216216,-0.202628754594
82,1.37157157157,-0.196813747554
83,1.38098098098,-0.191043291869
84,1.39039039039,-0.185319838507
85,1.3997997998,-0.179645907057
86,1.40920920921,-0.174024086796
87,1.41861861862,-0.168457038111
88,1.42802802803,-0.162947494252
89,1.43743743744,-0.157498263377
90,1.44684684685,-0.152112230768
91,1.45625625626,-0.146792361034
92,1.46566566567,-0.141541700017
93,1.47507507508,-0.136363376034
94,1.48448448448,-0.13126059997
95,1.49389389389,-0.126236663669
96,1.5033033033,-0.121294935958
97,1.51271271271,-0.11643885562
98,1.52212212212,-0.111671920574
99,1.53153153153,-0.106997672605
100,1.54094094094,-0.102419677031
101,1.55035035035,-0.097941496895
102,1.55975975976,-0.0935666614728
103,1.56916916917,-0.0892986291955
104,1.57857857858,-0.0851407454133
105,1.58798798799,-0.0810961958052
106,1.5973973974,-0.0771679566028
107,1.60680680681,-0.0733587431393
108,1.61621621622,-0.0696709585084
109,1.62562562563,-0.0661066443006
110,1.63503503504,-0.0626674354454
111,1.64444444444,-0.059354521121
112,1.65385385385,-0.0561686134879
113,1.66326326326,-0.0531099256762
114,1.67267267267,-0.0501781600334
115,1.68208208208,-0.0473725071444
116,1.69149149149,-0.0446916556242
117,1.7009009009,-0.0421338121769
118,1.71031031031,-0.0396967309689
119,1.71971971972,-0.0373777509947
120,1.72912912913,-0.0351738398487
121,1.73853853854,-0.0330816421677
122,1.74794794795,-0.0310975309627
123,1.75735735736,-0.0292176601194
124,1.76676676677,-0.0274380164912
125,1.77617617618,-0.0257544702065
126,1.78558558559,-0.0241628220614
127,1.79499499499,-0.0226588471256
128,1.8044044044,-0.0212383339516
129,1.81381381381,-0.0198971190209
130,1.82322322322,-0.0186311162768
131,1.83263263263,-0.0174363417818
132,1.84204204204,-0.0163089336799
133,1.85145145145,-0.01524516776
134,1.86086086086,-0.0142414689931
135,1.87027027027,-0.0132944194633
136,1.87967967968,-0.0124007631345
137,1.88908908909,-0.0115574078982
138,1.8984984985,-0.0107614253308
139,1.90790790791,-0.0100100485654
140,1.91731731732,-0.00930066864867
141,1.92672672673,-0.0086308297155
142,1.93613613614,-0.00799822327579
143,1.94554554555,-0.00740068186657
144,1.95495495495,-0.00683617228606
145,1.96436436436,-0.00630278859037
146,1.97377377377,-0.0057987450011
147,1.98318318318,-0.00532236884341
148,1.99259259259,-0.00487209360881
149,2.002002002,-0.0044464522146
150,2.01141141141,-0.00404407051372
151,2.02082082082,-0.00366366109261
152,2.03023023023,-0.00330401738204
153,2.03963963964,-0.00296400809497
154,2.04904904905,-0.00264257199739
155,2.05845845846,-0.00233871301103
156,2.06786786787,-0.00205149564196
157,2.07727727728,-0.00178004072518
158,2.08668668669,-0.00152352147235
159,2.0960960961,-0.00128115980827
160,2.10550550551,-0.00105222298003
