,a,a,a,a,k,k,k,k,b,u,n,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss,dr,dr,dr,dr,dr,dr_diff,dr_diff,dr_diff,dr_diff,dr_diff
,0,1,2,3,0,1,2,3,0,0,0,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.09623850537,0.42524969877,0.583091460219,0.477356187459,1.10943006659,0.708657064014,0.591808111863,0.418428423667,0.0964631159666,0.355499912465,1.61633671102,7.12860924245,0.679558785553,3.5477679481,1.11319078932,3.685345522,1.38145473281,3.18783578786,0.683259571859,4.9485876822,0.0,175.0,33.0,22.0,57.0,31.0,0.7594528731,0.399375496246,0.457050096528,0.583810312084,0.566478211669,0.7594528731,0.399375496246,0.457050096528,0.583810312084,0.566478211669
1,1.05507899385,0.45698089472,0.506237928417,0.518868003171,0.921787330671,0.480837827533,0.614064404421,0.381138168794,0.0965459068277,0.435275571245,1.59847675811,5.0380955294,1.16032732282,3.19530282575,1.02722127675,4.50848291292,1.13824416462,4.04367271217,0.522856370746,5.37431383908,0.0,12.0,24.0,20.0,39.0,48.0,0.591048055055,0.459896668647,0.426909012467,0.638198887691,0.654030428045,0.591048055055,0.459896668647,0.426909012467,0.638198887691,0.654030428045
2,1.05411454709,0.319913750374,0.432236275165,0.472541215957,0.819937795372,0.577929294898,0.520452712175,0.392408303195,0.100479572222,0.363202050147,1.60783244836,6.38022038081,0.860746214756,2.60788572666,1.14771702891,3.61468547401,2.23493972613,2.55025172126,0.591523297499,4.70285855628,0.0,192.0,43.0,1.0,73.0,1.0,0.617553939628,0.227759611583,0.304568596641,0.55085689433,0.558070513845,0.617553939628,0.227759611583,0.304568596641,0.55085689433,0.558070513845
3,1.08948729895,0.443752931718,0.632611687182,0.571372201703,0.74298578916,0.43863647124,0.5391137749,0.514544163913,0.0991962791824,0.41376395553,1.63887060974,7.47029948133,0.756454549154,4.36780360844,0.907810419949,4.17116406926,1.46902974814,3.74786373541,0.607124811625,5.76001646848,0.0,200.0,30.0,21.0,49.0,33.0,0.778243147013,0.475875822987,0.575266241498,0.685939234866,0.620257272793,0.778243147013,0.475875822987,0.575266241498,0.685939234866,0.620257272793
4,1.08142085177,0.356601641813,0.608986036472,0.408832095487,0.779251605094,0.446338126897,0.481782465821,0.536196434383,0.0955374712002,0.415423547324,1.59856140755,8.85769837568,0.52467362635,5.1411166654,0.646446633793,4.34827866077,2.60873766421,2.48495138654,1.07638906865,4.27928529352,0.0,163.0,46.0,22.0,200.0,1.0,0.795807794175,0.292317612771,0.60903144607,0.560246110566,0.638317368201,0.795807794175,0.292317612771,0.60903144607,0.560246110566,0.638317368201
5,1.0944784823,0.438766427234,0.464508597604,0.35585309392,0.751021852888,0.308371529389,0.537328090535,0.35509521491,0.0977869279188,0.32669762508,1.5530126174,4.12156144968,1.70219818677,2.92849286262,1.09888215267,3.3409130651,1.79524690156,3.49107966295,0.951085745778,3.63906609496,0.0,22.0,35.0,20.0,58.0,1.0,0.36666843665,0.252581566982,0.296096092883,0.404865166316,0.523865174879,0.36666843665,0.252581566982,0.296096092883,0.404865166316,0.523865174879
6,1.08802673224,0.505479714042,0.479048741778,0.364619605007,0.869970068817,0.447796081349,0.43158216306,0.518837171493,0.0979196660979,0.434728159488,1.56514315217,5.89602956215,1.01068293363,4.12065570608,0.586551887724,4.43964095071,1.62928160773,3.36796586668,1.11735848741,3.72366062444,0.0,19.0,29.0,27.0,52.0,31.0,0.630096988949,0.372411711877,0.477598313897,0.496529572233,0.647347848622,0.630096988949,0.372411711877,0.477598313897,0.496529572233,0.647347848622
7,1.08494996112,0.303558983129,0.433276831532,0.436578246065,0.788601091084,0.477007047267,0.471506396821,0.531647944838,0.0980353286131,0.428402421987,1.63439727963,8.03544672486,0.636911632092,3.59506251394,0.643430670474,4.36987796182,2.49760259309,2.4586926235,0.688828292265,4.45327467395,0.0,159.0,40.0,10.0,106.0,1.0,0.743340727924,0.260496166304,0.463330612399,0.580907193571,0.640469308539,0.743340727924,0.260496166304,0.463330612399,0.580907193571,0.640469308539
8,1.10213009703,0.349358387393,0.697642582298,0.526884780671,0.987433878066,0.537521107473,0.454078170685,0.338344576436,0.0976888513266,0.352172665036,1.65087734658,8.0704386495,0.576667476849,3.95457084172,1.41551077255,3.60504459059,2.03096957814,2.52463592698,0.856876618429,5.39349960119,0.0,193.0,43.0,20.0,89.0,1.0,0.78099876155,0.289581918639,0.491038545866,0.599663559164,0.556910640852,0.78099876155,0.289581918639,0.491038545866,0.599663559164,0.556910640852
9,1.09500142956,0.394989447677,0.423087451479,0.47455117556,0.547813309911,0.65010399903,0.38886993954,0.498004888467,0.0985518483053,0.377624600536,1.61627663519,8.26366049797,0.750595525689,3.23673507754,0.897230073999,3.8317353457,2.74341606739,2.89301990569,0.723596818161,4.81524379015,0.0,157.0,198.0,8.0,200.0,1.0,0.741958308255,0.330905501808,0.400216381802,0.593065952036,0.583395505137,0.741958308255,0.330905501808,0.400216381802,0.593065952036,0.583395505137
10,1.07691004718,0.456965716396,0.395902242401,0.451444537478,0.802855314094,0.692179024175,0.304084753865,0.351729633246,0.0967005208299,0.420186229139,1.64658282775,7.02036843636,0.826226900068,3.2085276715,0.942862150594,4.34523232691,1.80462657975,3.09947436171,0.845091992189,4.66848093065,0.0,162.0,32.0,18.0,57.0,26.0,0.717316088662,0.356646714818,0.373543787514,0.571198414116,0.638013001866,0.717316088662,0.356646714818,0.373543787514,0.571198414116,0.638013001866
11,1.09151820781,0.356530022575,0.603512025855,0.559865421515,0.687417513032,0.615867675225,0.331426713811,0.500579976233,0.0974803674375,0.382387586735,1.61295052453,9.4255075764,0.447592188982,4.58113252547,1.03701486876,3.92271384266,3.01539497971,2.34255160646,0.94411601851,5.74336593339,0.0,149.0,189.0,16.0,200.0,1.0,0.806865658176,0.277599913537,0.560745272148,0.672684319726,0.593586628016,0.806865658176,0.277599913537,0.560745272148,0.672684319726,0.593586628016
12,1.10415499238,0.313871373016,0.542625992322,0.389441656391,0.977208745892,0.328337443158,0.408140573256,0.346716888508,0.0975523935184,0.381373691384,1.68414210955,7.37854460959,0.698488977023,4.14922371231,0.898136008017,3.90942423481,2.20744185105,2.35245986752,1.06954570201,3.9921281513,0.0,177.0,39.0,21.0,79.0,1.0,0.713583168022,0.218527861801,0.488505312064,0.490519206541,0.592112800859,0.713583168022,0.218527861801,0.488505312064,0.490519206541,0.592112800859
13,1.07241580439,0.417256425381,0.51455689882,0.459949095818,1.00139032866,0.516699651033,0.392037509461,0.496387877029,0.0978879798557,0.366793328576,1.5875081633,6.54349197074,0.779466290902,3.89216559777,0.931976728258,3.74707220556,1.70612060416,2.8976488692,0.943401141829,4.69872906251,0.0,186.0,35.0,24.0,60.0,22.0,0.684609429597,0.325963391716,0.469640082972,0.575967066074,0.573692061969,0.684609429597,0.325963391716,0.469640082972,0.575967066074,0.573692061969
14,1.06554296721,0.511861254448,0.634990157731,0.363842435281,0.931215471165,0.776350263105,0.437325281378,0.602071160535,0.0974160499928,0.461247536788,1.56956354703,8.94568144559,0.401941872551,5.74487676286,0.472082162213,4.73482076949,2.62437690707,2.18156218929,1.46160664566,3.73493315843,0.0,149.0,41.0,29.0,84.0,1.0,0.800806713633,0.250327355155,0.631775463309,0.513597241425,0.675303543995,0.800806713633,0.250327355155,0.631775463309,0.513597241425,0.675303543995
15,1.07287588075,0.411575677354,0.420075704107,0.335475261297,0.803163081244,0.365364836834,0.444946879261,0.396610445662,0.0986904742549,0.435986422925,1.59311904456,5.46700623863,1.13920096847,3.47739901069,0.650075788301,4.41771534909,1.92234864611,3.01310811581,1.03184542349,3.39926688801,0.0,18.0,30.0,20.0,60.0,26.0,0.549574289488,0.272748067663,0.388377183562,0.439204929245,0.645197729122,0.549574289488,0.272748067663,0.388377183562,0.439204929245,0.645197729122
16,1.10411795471,0.381020826347,0.544107865233,0.567187818135,0.738974357366,0.590969652673,0.538792287946,0.531830736268,0.0970130576648,0.390530308978,1.62182254678,8.29365157906,0.655234751428,3.72830004258,0.960066579396,4.02554376059,1.91251152046,3.23099495905,0.53697691656,5.84651006563,0.0,161.0,38.0,14.0,61.0,20.0,0.804898276986,0.410905429591,0.503970779356,0.688992880338,0.604824552101,0.804898276986,0.410905429591,0.503970779356,0.688992880338,0.604824552101
17,1.08992018264,0.364199991825,0.359135667566,0.409200163109,0.928265722583,0.408938400401,0.39635967839,0.513012344238,0.0972898350009,0.402207114178,1.57558024392,5.23296335483,1.13980924226,2.97967701274,0.725106838768,4.13411240932,1.83612532288,2.94900552267,0.767276058265,4.205990925,0.0,20.0,32.0,15.0,54.0,26.0,0.531074839332,0.257485686195,0.344863837161,0.541689561478,0.616382281213,0.531074839332,0.257485686195,0.344863837161,0.541689561478,0.616382281213
18,1.07839994213,0.361642093776,0.424599599936,0.494265493509,0.639993171473,0.52850280695,0.608563922469,0.533281551061,0.0981410422854,0.36773564488,1.59536151858,6.74825047856,0.988521401281,2.79746461456,0.934852529505,3.74701181399,2.18624762922,3.16696780435,0.479401766479,5.03627719861,0.0,161.0,44.0,1.0,65.0,1.0,0.659155552192,0.338146879334,0.365125206523,0.61293473927,0.573685062387,0.659155552192,0.338146879334,0.365125206523,0.61293473927,0.573685062387
19,1.05460096333,0.351110232173,0.4601575461,0.343039889638,0.644395085553,0.515923776413,0.472742412966,0.243397786816,0.0972943838131,0.365124468807,1.5655011197,6.72405137379,0.967605349586,2.89838949224,1.20350699202,3.75278052542,3.2327839242,2.28708108009,1.07513065888,3.52579333147,0.0,177.0,197.0,7.0,200.0,1.0,0.542983119347,0.120401406526,0.260848326318,0.365915767504,0.574353166229,0.542983119347,0.120401406526,0.260848326318,0.365915767504,0.574353166229
