,score,a,a,a,a,k,k,k,k,b,b,u,u,u,u,n
,0,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0
,,,,,,,,,,,,,,,,
0,69.5069991636,0.670204153048,1.14333541191,0.945788101922,1.14343824104,1.43402762532,0.957884640251,0.226061778786,0.862742852175,0.105334934397,0.0990040904879,0.610182041949,0.610182041949,0.610182041949,0.610182041949,1.05673865409
1,69.5069991636,0.670204153048,1.14333541191,0.945788101922,1.14343824104,1.43402762532,0.957884640251,0.226061778786,0.862742852175,0.105334934397,0.0990040904879,0.610182041949,0.610182041949,0.610182041949,0.610182041949,1.05673865409
2,26.5103061788,1.45953981424,1.43767972557,0.828870206793,0.964205391253,1.01405614617,1.21770362094,1.39023045267,0.428900993253,0.099994497976,0.100656311853,0.683771390042,0.683771390042,0.683771390042,0.683771390042,1.57496522783
3,26.5103061788,1.45953981424,1.43767972557,0.828870206793,0.964205391253,1.01405614617,1.21770362094,1.39023045267,0.428900993253,0.099994497976,0.100656311853,0.683771390042,0.683771390042,0.683771390042,0.683771390042,1.57496522783
4,19.6169344913,0.637981559699,0.316367930683,1.41477730782,0.877316483038,0.677594186704,0.974650659258,1.42658342929,0.969904462447,0.0998063057502,0.0717610677748,0.628382208767,0.628382208767,0.628382208767,0.628382208767,1.72535092839
5,19.6169344913,0.637981559699,0.316367930683,1.41477730782,0.877316483038,0.677594186704,0.974650659258,1.42658342929,0.969904462447,0.0998063057502,0.0717610677748,0.628382208767,0.628382208767,0.628382208767,0.628382208767,1.72535092839
6,16.0281162743,0.787649232953,1.04480698884,1.4374733931,1.11001698385,1.20959808568,1.03947345167,0.209677501153,1.32567283457,0.0879158722913,0.061079648784,0.746266190321,0.746266190321,0.746266190321,0.746266190321,1.21849585126
7,16.0281162743,0.787649232953,1.04480698884,1.4374733931,1.11001698385,1.20959808568,1.03947345167,0.209677501153,1.32567283457,0.0879158722913,0.061079648784,0.746266190321,0.746266190321,0.746266190321,0.746266190321,1.21849585126
8,14.8040162952,0.959741320563,0.753725900206,0.792813279175,0.995464348237,0.34048410234,0.574949025512,1.37821799256,1.47891387793,0.087299918154,0.0648028526344,0.54365979646,0.54365979646,0.54365979646,0.54365979646,1.13121988845
9,14.8040162952,0.959741320563,0.753725900206,0.792813279175,0.995464348237,0.34048410234,0.574949025512,1.37821799256,1.47891387793,0.087299918154,0.0648028526344,0.54365979646,0.54365979646,0.54365979646,0.54365979646,1.13121988845
10,11.4582114706,0.810839251386,0.585296312121,0.52979460404,0.461166951835,0.805493791718,1.18678327514,0.383841956203,0.683035313971,0.0856079933983,0.0808937078357,0.219827077839,0.219827077839,0.219827077839,0.219827077839,1.5294749071
11,11.4582114706,0.810839251386,0.585296312121,0.52979460404,0.461166951835,0.805493791718,1.18678327514,0.383841956203,0.683035313971,0.0856079933983,0.0808937078357,0.219827077839,0.219827077839,0.219827077839,0.219827077839,1.5294749071
12,9.04296044795,1.31896549672,0.706321231905,0.681519631557,1.11563307383,0.684709763156,0.472960805137,0.444629070963,0.471503397771,0.103382101,0.128911530548,0.563118959084,0.563118959084,0.563118959084,0.563118959084,1.54330044727
13,9.04296044795,1.31896549672,0.706321231905,0.681519631557,1.11563307383,0.684709763156,0.472960805137,0.444629070963,0.471503397771,0.103382101,0.128911530548,0.563118959084,0.563118959084,0.563118959084,0.563118959084,1.54330044727
14,7.08460654019,1.17998771046,1.14822925032,1.31404155974,1.03544720112,0.610265350505,1.31102621095,1.47617848138,1.48970768614,0.113406766453,0.113065198367,0.903653645374,0.903653645374,0.903653645374,0.903653645374,1.2060450851
15,7.08460654019,1.17998771046,1.14822925032,1.31404155974,1.03544720112,0.610265350505,1.31102621095,1.47617848138,1.48970768614,0.113406766453,0.113065198367,0.903653645374,0.903653645374,0.903653645374,0.903653645374,1.2060450851
16,4.41932113985,1.23537222566,1.23506813507,1.06834585019,1.39296775168,0.731424203438,1.47604356433,1.28664769736,1.42081923399,0.109514899947,0.0901724291733,0.579066077544,0.579066077544,0.579066077544,0.579066077544,1.02117512852
17,4.41932113985,1.23537222566,1.23506813507,1.06834585019,1.39296775168,0.731424203438,1.47604356433,1.28664769736,1.42081923399,0.109514899947,0.0901724291733,0.579066077544,0.579066077544,0.579066077544,0.579066077544,1.02117512852
18,3.83398866572,1.25409521556,1.10086465116,0.995382389339,1.39811103905,0.598244186856,1.22254974094,0.841537281628,0.600814679579,0.124094378063,0.108968558981,0.6276739011,0.6276739011,0.6276739011,0.6276739011,1.21218418535
19,3.83398866572,1.25409521556,1.10086465116,0.995382389339,1.39811103905,0.598244186856,1.22254974094,0.841537281628,0.600814679579,0.124094378063,0.108968558981,0.6276739011,0.6276739011,0.6276739011,0.6276739011,1.21218418535
20,3.68682556247,1.29708349445,1.27756774289,1.26091052893,1.49880235059,0.582118004954,1.11266163281,0.798536411983,1.27407406582,0.126294525851,0.115335816306,0.508385826585,0.508385826585,0.508385826585,0.508385826585,1.22223690598
21,3.68682556247,1.29708349445,1.27756774289,1.26091052893,1.49880235059,0.582118004954,1.11266163281,0.798536411983,1.27407406582,0.126294525851,0.115335816306,0.508385826585,0.508385826585,0.508385826585,0.508385826585,1.22223690598
22,3.14852419851,1.25260189596,0.831410330334,1.00445941935,1.41487445977,0.788249887137,1.21590372312,0.857996258007,1.03095584082,0.117145551902,0.115464338513,0.593728444718,0.593728444718,0.593728444718,0.593728444718,1.22083755005
23,3.14852419851,1.25260189596,0.831410330334,1.00445941935,1.41487445977,0.788249887137,1.21590372312,0.857996258007,1.03095584082,0.117145551902,0.115464338513,0.593728444718,0.593728444718,0.593728444718,0.593728444718,1.22083755005
24,2.65147183963,1.14849666221,1.17727444655,1.22786403909,1.25780006072,0.46457926421,0.952387045836,1.17111622802,1.4304630093,0.108742646789,0.100815733137,0.655785023322,0.655785023322,0.655785023322,0.655785023322,1.17154249022
25,2.65147183963,1.14849666221,1.17727444655,1.22786403909,1.25780006072,0.46457926421,0.952387045836,1.17111622802,1.4304630093,0.108742646789,0.100815733137,0.655785023322,0.655785023322,0.655785023322,0.655785023322,1.17154249022
26,2.39009643686,1.22163486247,0.82155751267,1.309295644,1.38534814046,0.720998298091,0.833520833363,1.13635428712,1.2446229245,0.109105488019,0.0993243986158,0.524048813821,0.524048813821,0.524048813821,0.524048813821,1.23860438459
27,2.39009643686,1.22163486247,0.82155751267,1.309295644,1.38534814046,0.720998298091,0.833520833363,1.13635428712,1.2446229245,0.109105488019,0.0993243986158,0.524048813821,0.524048813821,0.524048813821,0.524048813821,1.23860438459
28,2.36901947773,1.23476629739,0.82155751267,1.46213015835,1.3846302838,0.722659399641,0.825375972595,1.21811620481,1.13816187099,0.116386188877,0.105214316223,0.534020125586,0.534020125586,0.534020125586,0.534020125586,1.26697148008
29,2.36901947773,1.23476629739,0.82155751267,1.46213015835,1.3846302838,0.722659399641,0.825375972595,1.21811620481,1.13816187099,0.116386188877,0.105214316223,0.534020125586,0.534020125586,0.534020125586,0.534020125586,1.26697148008
30,2.16696051707,1.25023786056,0.637293274184,0.866427157332,0.932152778342,1.04018774866,1.11079194531,1.22516407618,1.3785724429,0.111663445725,0.105828664367,0.48926411685,0.48926411685,0.48926411685,0.48926411685,1.25567168172
31,2.16696051707,1.25023786056,0.637293274184,0.866427157332,0.932152778342,1.04018774866,1.11079194531,1.22516407618,1.3785724429,0.111663445725,0.105828664367,0.48926411685,0.48926411685,0.48926411685,0.48926411685,1.25567168172
32,2.15228202899,1.11534226809,0.825370921193,1.41072251252,1.11262674569,0.772535708089,0.822254253626,1.06684363641,0.826772137706,0.101468653765,0.0912247732129,0.577080356881,0.577080356881,0.577080356881,0.577080356881,1.19392002552
33,2.15228202899,1.11534226809,0.825370921193,1.41072251252,1.11262674569,0.772535708089,0.822254253626,1.06684363641,0.826772137706,0.101468653765,0.0912247732129,0.577080356881,0.577080356881,0.577080356881,0.577080356881,1.19392002552
34,2.11748753402,1.12033971144,0.766268707944,0.905254504557,1.31021925211,0.75247489875,0.914634384768,0.604809128987,0.978918774274,0.100860556295,0.0973970731225,0.600294735533,0.600294735533,0.600294735533,0.600294735533,1.25302361792
35,2.11748753402,1.12033971144,0.766268707944,0.905254504557,1.31021925211,0.75247489875,0.914634384768,0.604809128987,0.978918774274,0.100860556295,0.0973970731225,0.600294735533,0.600294735533,0.600294735533,0.600294735533,1.25302361792
36,1.95765171667,1.14879415662,0.737191159473,1.06597575603,1.09809065237,0.724660292082,0.660509899452,0.777362501048,0.867991796846,0.102497924255,0.0968925134445,0.633546088795,0.633546088795,0.633546088795,0.633546088795,1.26525452681
37,1.95765171667,1.14879415662,0.737191159473,1.06597575603,1.09809065237,0.724660292082,0.660509899452,0.777362501048,0.867991796846,0.102497924255,0.0968925134445,0.633546088795,0.633546088795,0.633546088795,0.633546088795,1.26525452681
38,1.68298433451,1.11317917006,0.710007288181,0.898694402222,0.952383534462,0.656128548527,0.583956883061,0.647937164467,0.887442413646,0.0993111431272,0.0931948801622,0.535572704256,0.535572704256,0.535572704256,0.535572704256,1.30606571655
39,1.68298433451,1.11317917006,0.710007288181,0.898694402222,0.952383534462,0.656128548527,0.583956883061,0.647937164467,0.887442413646,0.0993111431272,0.0931948801622,0.535572704256,0.535572704256,0.535572704256,0.535572704256,1.30606571655
40,1.59559874895,0.991065412636,0.587287098642,0.817430425517,0.796526241385,0.55134983854,0.472711229078,0.684753463224,0.597560105848,0.0942270026612,0.0863032592328,0.512295894218,0.512295894218,0.512295894218,0.512295894218,1.39933384124
41,1.59559874895,0.991065412636,0.587287098642,0.817430425517,0.796526241385,0.55134983854,0.472711229078,0.684753463224,0.597560105848,0.0942270026612,0.0863032592328,0.512295894218,0.512295894218,0.512295894218,0.512295894218,1.39933384124
42,1.52536876979,1.03739180053,0.509222065405,0.627404538783,0.700001186593,0.67586554577,0.508237424212,0.533270712831,0.719366822037,0.0976706215422,0.088133224532,0.438944941301,0.438944941301,0.438944941301,0.438944941301,1.44106635504
43,1.52536876979,1.03739180053,0.509222065405,0.627404538783,0.700001186593,0.67586554577,0.508237424212,0.533270712831,0.719366822037,0.0976706215422,0.088133224532,0.438944941301,0.438944941301,0.438944941301,0.438944941301,1.44106635504
44,1.50893182073,1.02534899194,0.540369024083,0.763269147886,0.800572690269,0.646199127857,0.475969436762,0.599594757259,0.694851909791,0.0943430482691,0.0882059758012,0.474975551739,0.474975551739,0.474975551739,0.474975551739,1.41706081978
45,1.50893182073,1.02534899194,0.540369024083,0.763269147886,0.800572690269,0.646199127857,0.475969436762,0.599594757259,0.694851909791,0.0943430482691,0.0882059758012,0.474975551739,0.474975551739,0.474975551739,0.474975551739,1.41706081978
46,1.50449839844,1.01918089854,0.526492233254,0.652408867739,0.640438955485,0.700610352503,0.540069734851,0.541569368806,0.639678049111,0.0945811260938,0.0855582198677,0.430779499686,0.430779499686,0.430779499686,0.430779499686,1.41960892688
47,1.50449839844,1.01918089854,0.526492233254,0.652408867739,0.640438955485,0.700610352503,0.540069734851,0.541569368806,0.639678049111,0.0945811260938,0.0855582198677,0.430779499686,0.430779499686,0.430779499686,0.430779499686,1.41960892688
48,1.46511760429,1.07107321855,0.586485218108,0.786558815627,0.796396419133,0.562778639369,0.353807223041,0.343783270904,0.417754924981,0.0983938700416,0.0915372058494,0.531533999171,0.531533999171,0.531533999171,0.531533999171,1.48654123267
49,1.46511760429,1.07107321855,0.586485218108,0.786558815627,0.796396419133,0.562778639369,0.353807223041,0.343783270904,0.417754924981,0.0983938700416,0.0915372058494,0.531533999171,0.531533999171,0.531533999171,0.531533999171,1.48654123267
50,1.45420296536,1.04346002395,0.537947916408,0.766529639835,0.763567499242,0.609524027984,0.383630198736,0.405424940104,0.433875096726,0.0981445320379,0.0899183849662,0.494462560816,0.494462560816,0.494462560816,0.494462560816,1.47630859611
51,1.45420296536,1.04346002395,0.537947916408,0.766529639835,0.763567499242,0.609524027984,0.383630198736,0.405424940104,0.433875096726,0.0981445320379,0.0899183849662,0.494462560816,0.494462560816,0.494462560816,0.494462560816,1.47630859611
52,1.45397237648,1.02619118161,0.49746732431,0.69603905328,0.699211106597,0.6125851181,0.376522070783,0.442458811967,0.444562971876,0.0949867069313,0.0885114577653,0.475858448471,0.475858448471,0.475858448471,0.475858448471,1.4830268302
53,1.45397237648,1.02619118161,0.49746732431,0.69603905328,0.699211106597,0.6125851181,0.376522070783,0.442458811967,0.444562971876,0.0949867069313,0.0885114577653,0.475858448471,0.475858448471,0.475858448471,0.475858448471,1.4830268302
