,index,score,a,a,a,a,k,k,k,k,b,b,u,u,u,u,n
,,0,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0
,,,,,,,,,,,,,,,,,
count,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
mean,645.125,0.639190148161,1.41699397045,0.329554563914,0.555860158441,0.787535917643,1.22329898959,0.249859966283,0.289779650468,0.534522630184,0.244827995062,0.127070280371,0.330233296034,0.330233296034,0.330233296034,0.330233296034,1.81199839866
std,122.250810379,7.46469153216e-05,0.0781305595603,0.0418611768439,0.0706717634772,0.101257502899,0.193469914134,0.0395136089116,0.0457906648959,0.0846397333298,0.0877400231957,0.00700482092712,0.0419541095064,0.0419541095064,0.0419541095064,0.0419541095064,0.00179417940717
min,379.0,0.639179324401,1.19318554479,0.248625416876,0.419213498979,0.592921427703,0.558003644482,0.113967607687,0.132131452685,0.24322038014,0.0641758769689,0.107000928436,0.24911136869,0.24911136869,0.24911136869,0.24911136869,1.79987509852
25%,570.5,0.639179325884,1.37190781254,0.304155698232,0.512832500584,0.724813568867,1.08492924052,0.221529300057,0.256840761903,0.472473059759,0.189424771713,0.123028496556,0.304766055683,0.304766055683,0.304766055683,0.304766055683,1.81219872671
50%,643.0,0.639179328061,1.43008215287,0.326800410169,0.551089949649,0.7795356545,1.27764762398,0.260961051573,0.302525334485,0.563191110923,0.245890611298,0.12824600829,0.327468003044,0.327468003044,0.327468003044,0.327468003044,1.8122155288
75%,748.5,0.639179338831,1.49048008563,0.351669235013,0.597074771049,0.849232925523,1.38521083877,0.282940760673,0.327993961409,0.603680077913,0.331423948943,0.133661971877,0.3525049575,0.3525049575,0.3525049575,0.3525049575,1.81224266211
max,893.0,0.639696539697,1.5,0.493648042768,0.832469666406,1.17750371445,1.46586641331,0.299380237997,0.347084699164,0.638890288005,0.390138089272,0.134516136673,0.494647694805,0.494647694805,0.494647694805,0.494647694805,1.81320636573
