,index,score,a,a,a,a,k,k,k,k,n,u,b
,,0,0,1,2,3,0,1,2,3,0,0,0
,,,,,,,,,,,,,
0,405,0.425078203689,1.43691000875,0.408065977815,0.573750710462,0.52828957297,1.27421837509,0.556696733717,0.422184762338,0.310051523114,1.73500001,0.299435792371,0.130539069788
1,609,0.425075433137,1.4379770468,0.43719150267,0.614162315238,0.565742617525,1.13295357362,0.494822802849,0.374426293219,0.275147291251,1.735,0.320668829361,0.130584313611
2,215,0.425230542308,1.43996744731,0.40687936905,0.581268654314,0.537011745166,1.26277111248,0.539734619146,0.420009830605,0.311266304664,1.735,0.301800875737,0.130682231606
3,383,0.425075505665,1.43800314993,0.455167991047,0.639120271936,0.58861050344,1.05719986712,0.46212391182,0.349416807238,0.25662088772,1.735,0.333704523558,0.130593641159
4,353,0.425213972256,1.44499719301,0.41319644873,0.574556529877,0.527947877052,1.27580011326,0.566155250273,0.422043874331,0.308244047538,1.73500001,0.299494032258,0.131224313131
5,313,0.425287500752,1.43605238404,0.47283170107,0.667231174327,0.610692578932,0.987334395425,0.426162016681,0.322528536779,0.233615451209,1.73500001,0.348600005283,0.130244222178
6,545,0.425075937469,1.43811403827,0.520334520738,0.730939573388,0.673436687861,0.837653018368,0.365861766535,0.276831440721,0.203490807907,1.73500001,0.381629887305,0.130594415386
7,335,0.425076377456,1.43806040269,0.50046474362,0.702757491961,0.647468167376,0.896575632873,0.391805859902,0.296255377915,0.217760956831,1.73500001,0.366961302624,0.130593086419
8,269,0.425234633704,1.43584474647,0.397687691333,0.549278577909,0.504336317489,1.35717385848,0.607896697459,0.448458711617,0.326133952458,1.735,0.288021037723,0.130548610868
9,379,0.425082891801,1.43637196926,0.372133114712,0.523466188454,0.482869262577,1.49253210306,0.650338356866,0.492764757352,0.363292585097,1.735,0.27349152727,0.130457404688
10,383,0.425082518659,1.43808497634,0.389834146427,0.549149683773,0.506949593561,1.3774801657,0.599117788853,0.45522354173,0.336408601368,1.735,0.286573552936,0.130577377858
11,279,0.42518057626,1.44023937663,0.40239127584,0.559998585078,0.511054140061,1.32937313563,0.589588593921,0.440558806341,0.316017756826,1.73500001,0.292398911027,0.130806946035
12,73,0.426918497014,1.4669788998,0.439163011701,0.611587165419,0.559028301228,1.17463199867,0.519700438675,0.390712470522,0.279968235384,1.73450941527,0.315559624361,0.132791449727
13,339,0.425144308352,1.439412166,0.38869262108,0.540580980078,0.494818872234,1.40973682264,0.624565475213,0.465498050351,0.33629481213,1.735,0.282636925713,0.130727309504
14,579,0.42507555508,1.43821038111,0.428531681045,0.601644852876,0.554150429307,1.17417027492,0.513281027711,0.388038230907,0.285056176158,1.735,0.314130653779,0.130607105469
