,index,score,a,a,a,a,k,k,k,k,b,b,u,u,u,u,n
,,0,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0
,,,,,,,,,,,,,,,,,
count,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
mean,511.458333333,0.146358113228,1.39523083037,0.473783774358,0.515412098046,0.524846934385,0.945991931401,0.569301220116,0.570485341962,0.632562459637,0.0826622845931,0.119403480881,0.444042276351,0.444042276351,0.444042276351,0.444042276351,1.63042880893
std,136.319549235,1.43460059256e-06,0.0844823124698,0.106853059867,0.116231541578,0.118375188318,0.282838616103,0.170198674781,0.170589038106,0.189121323991,0.0295715367051,0.00722983612331,0.100136232973,0.100136232973,0.100136232973,0.100136232973,0.0001746196461
min,257.0,0.146357741032,1.10775373285,0.313166497505,0.340735204837,0.347259789621,0.368440551762,0.22174554828,0.222198680785,0.246384373353,0.0317636491785,0.0948011001946,0.293521982289,0.293521982289,0.293521982289,0.293521982289,1.62986160877
25%,424.0,0.146357751629,1.36578049309,0.396260010154,0.431091246516,0.438940084571,0.753434182985,0.453458258217,0.454319776075,0.503823748047,0.0612314415276,0.116883308677,0.371399736837,0.371399736837,0.371399736837,0.371399736837,1.63038307397
50%,494.0,0.146357782286,1.41210078826,0.454724979739,0.494672532619,0.503778341327,0.933765476047,0.56190221054,0.563035051431,0.624433203164,0.0787421556269,0.120846496894,0.426182712461,0.426182712461,0.426182712461,0.426182712461,1.63041244131
75%,567.5,0.146357955205,1.45910120981,0.528368631898,0.574743016571,0.585799218528,1.15735217009,0.696375520181,0.697908679653,0.77333397326,0.106863236383,0.124869906468,0.495168477662,0.495168477662,0.495168477662,0.495168477662,1.63047678969
max,823.0,0.146367642056,1.49992682535,0.821379099239,0.893529955561,0.909894585036,1.41240862428,0.849279890782,0.851501211357,0.944691624507,0.129287273565,0.12835736378,0.769797442048,0.769797442048,0.769797442048,0.769797442048,1.63081786197
