time (min),induction layer,Strain 6059,Strain 6325,Strain 6326,Strain 6327
1619.0,3757.42275131,2771.41271819,8160.26928781,5589.6900058,6758.31795053
1619.25,3757.42380129,2771.39799471,8160.37957261,5589.457737,6758.75630305
1619.5,3757.42484995,2771.38328909,8160.48974621,5589.22567014,6759.19438434
1619.75,3757.42589727,2771.36860131,8160.59980858,5588.99380505,6759.63219449
1620.0,3757.42694326,2771.35393136,8160.70975971,5588.76214158,6760.06973362
1620.25,3757.42798793,2771.33927921,8160.81959961,5588.53067957,6760.50700183
1620.5,3757.42903127,2771.32464484,8160.92932824,5588.29941886,6760.94399923
1620.75,3757.43007328,2771.31002823,8161.03894558,5588.06835929,6761.38072592
1621.0,3757.43111397,2771.29542935,8161.14845163,5587.8375007,6761.81718202
1621.25,3757.43215335,2771.2808482,8161.25784635,5587.60684294,6762.25336762
1621.5,3757.4331914,2771.26628474,8161.36712972,5587.37638584,6762.68928285
1621.75,3757.43422813,2771.25173896,8161.4763017,5587.14612925,6763.12492779
1622.0,3757.43526355,2771.23721083,8161.58536228,5586.91607301,6763.56030257
1622.25,3757.43629766,2771.22270034,8161.69431141,5586.68621697,6763.99540728
1622.5,3757.43733045,2771.20820746,8161.80314906,5586.45656096,6764.43024204
1622.75,3757.43836193,2771.19373217,8161.91187551,5586.22710483,6764.86480696
1623.0,3757.4393921,2771.17927445,8162.020493,5585.99784843,6765.29910213
1623.25,3757.44042096,2771.16483429,8162.12900206,5585.76879158,6765.73312767
1623.5,3757.44144852,2771.15041165,8162.23740281,5585.53993415,6766.16688368
1623.75,3757.44247477,2771.13600652,8162.34569537,5585.31127597,6766.60037028
1624.0,3757.44349971,2771.12161888,8162.45387985,5585.08281688,6767.03358756
1624.25,3757.44452336,2771.10724871,8162.56195638,5584.85455673,6767.46653564
1624.5,3757.44554571,2771.09289598,8162.66992508,5584.62649536,6767.89921462
1624.75,3757.44656676,2771.07856068,8162.77778607,5584.39863262,6768.33162461
1625.0,3757.44758651,2771.06424279,8162.88553948,5584.17096835,6768.76376572
1625.25,3757.44860496,2771.04994228,8162.99318544,5583.9435024,6769.19563806
1625.5,3757.44962212,2771.03565913,8163.10072408,5583.7162346,6769.62724172
1625.75,3757.45063799,2771.02139333,8163.20815552,5583.48916481,6770.05857683
1626.0,3757.45165257,2771.00714485,8163.31547989,5583.26229287,6770.48964349
1626.25,3757.45266586,2770.99291367,8163.42269733,5583.03561861,6770.92044179
1626.5,3757.45367787,2770.97869977,8163.52980797,5582.8091419,6771.35097187
1626.75,3757.45468858,2770.96450313,8163.63681195,5582.58286257,6771.78123381
1627.0,3757.45569802,2770.95032374,8163.74370939,5582.35678047,6772.21122772
1627.25,3757.45670617,2770.93616156,8163.85050045,5582.13089544,6772.64095372
1627.5,3757.45771304,2770.92201658,8163.95718525,5581.90520733,6773.07041192
1627.75,3757.45871863,2770.90788878,8164.06376395,5581.67971599,6773.49960241
1628.0,3757.45972294,2770.89377814,8164.17023667,5581.45442126,6773.92852531
1628.25,3757.46072597,2770.87968464,8164.27660357,5581.22932298,6774.35718072
1628.5,3757.46172773,2770.86560826,8164.38286479,5581.00442101,6774.78556875
1628.75,3757.46272822,2770.85154897,8164.48902048,5580.77971519,6775.21368952
1629.0,3757.46372744,2770.83750676,8164.59507079,5580.55520536,6775.64154312
1629.25,3757.46472538,2770.8234816,8164.70101587,5580.33089138,6776.06912966
1629.5,3757.46572206,2770.80947348,8164.80685586,5580.10677308,6776.49644926
1629.75,3757.46671747,2770.79548238,8164.91259093,5579.88285032,6776.92350201
1630.0,3757.46771161,2770.78150827,8165.01822122,5579.65912295,6777.35028804
1630.25,3757.46870449,2770.76755113,8165.1237469,5579.4355908,6777.77680743
1630.5,3757.4696961,2770.75361095,8165.22916812,5579.21225373,6778.20306031
1630.75,3757.47068646,2770.7396877,8165.33448505,5578.98911159,6778.62904678
1631.0,3757.47167555,2770.72578137,8165.43969784,5578.76616422,6779.05476694
1631.25,3757.47266339,2770.71189193,8165.54480666,5578.54341147,6779.48022091
1631.5,3757.47364997,2770.69801937,8165.64981167,5578.32085318,6779.90540879
1631.75,3757.4746353,2770.68416365,8165.75471305,5578.09848922,6780.3303307
1632.0,3757.47561937,2770.67032477,8165.85951096,5577.87631942,6780.75498673
1632.25,3757.47660219,2770.65650271,8165.96420557,5577.65434363,6781.17937699
1632.5,3757.47758376,2770.64269743,8166.06879706,5577.4325617,6781.6035016
1632.75,3757.47856408,2770.62890893,8166.1732856,5577.21097349,6782.02736066
1633.0,3757.47954315,2770.61513718,8166.27767136,5576.98957883,6782.45095428
1633.25,3757.48052097,2770.60138216,8166.38195453,5576.76837758,6782.87428256
1633.5,3757.48149756,2770.58764386,8166.48613529,5576.54736959,6783.29734562
1633.75,3757.48247289,2770.57392224,8166.59021381,5576.3265547,6783.72014356
1634.0,3757.48344699,2770.5602173,8166.69419029,5576.10593277,6784.14267648
1634.25,3757.48441985,2770.54652901,8166.7980649,5575.88550364,6784.56494451
1634.5,3757.48539146,2770.53285736,8166.90183785,5575.66526717,6784.98694774
1634.75,3757.48636184,2770.51920231,8167.00550931,5575.4452232,6785.40868628
1635.0,3757.48733099,2770.50556385,8167.10907948,5575.22537159,6785.83016024
1635.25,3757.4882989,2770.49194197,8167.21254855,5575.00571211,6786.25136973
1635.5,3757.48926557,2770.47833664,8167.31591673,5574.78624451,6786.67231485
1635.75,3757.49023102,2770.46474784,8167.4191842,5574.56696863,6787.09299572
1636.0,3757.49119523,2770.45117555,8167.52235117,5574.34788431,6787.51341244
1636.25,3757.49215822,2770.43761976,8167.62541785,5574.12899141,6787.93356512
1636.5,3757.49311998,2770.42408044,8167.72838444,5573.91028977,6788.35345386
1636.75,3757.49408051,2770.41055756,8167.83125114,5573.69177923,6788.77307878
1637.0,3757.49503982,2770.39705113,8167.93401816,5573.47345964,6789.19243999
1637.25,3757.49599791,2770.3835611,8168.03668572,5573.25533086,6789.61153758
1637.5,3757.49695477,2770.37008747,8168.13925403,5573.03739272,6790.03037167
1637.75,3757.49791042,2770.3566302,8168.2417233,5572.81964507,6790.44894236
1638.0,3757.49886485,2770.3431893,8168.34409375,5572.60208777,6790.86724977
1638.25,3757.49981805,2770.32976472,8168.44636561,5572.38472065,6791.285294
1638.5,3757.50077005,2770.31635646,8168.5485391,5572.16754356,6791.70307516
1638.75,3757.50172083,2770.30296449,8168.65061443,5571.95055636,6792.12059335
1639.0,3757.5026704,2770.2895888,8168.75259185,5571.73375889,6792.53784869
1639.25,3757.50361875,2770.27622936,8168.85447157,5571.51715099,6792.95484129
1639.5,3757.5045659,2770.26288615,8168.95625383,5571.30073253,6793.37157124
1639.75,3757.50551183,2770.24955916,8169.05793886,5571.08450333,6793.78803866
1640.0,3757.50645656,2770.23624836,8169.15952648,5570.86846325,6794.20424366
1640.25,3757.50740008,2770.22295374,8169.26101458,5570.65261215,6794.62018634
1640.5,3757.5083424,2770.20967528,8169.36240291,5570.43694986,6795.03586682
1640.75,3757.50928352,2770.19641295,8169.46369154,5570.22147623,6795.45128519
1641.0,3757.51022343,2770.18316673,8169.56488055,5570.00619113,6795.86644157
1641.25,3757.51116215,2770.16993662,8169.66597001,5569.79109438,6796.28133606
1641.5,3757.51209966,2770.15672258,8169.76695999,5569.57618584,6796.69596878
1641.75,3757.51303598,2770.1435246,8169.86785057,5569.36146537,6797.11033983
1642.0,3757.5139711,2770.13034265,8169.9686418,5569.1469328,6797.52444932
1642.25,3757.51490503,2770.11717673,8170.06933377,5568.93258799,6797.93829736
1642.5,3757.51583776,2770.1040268,8170.16992653,5568.71843079,6798.35188405
1642.75,3757.51676931,2770.09089285,8170.27042015,5568.50446105,6798.7652095
1643.0,3757.51769966,2770.07777486,8170.37081469,5568.29067861,6799.17827383
1643.25,3757.51862882,2770.06467281,8170.47111021,5568.07708332,6799.59107713
1643.5,3757.51955679,2770.05158669,8170.57130677,5567.86367504,6800.00361951
1643.75,3757.52048358,2770.03851646,8170.67140443,5567.65045362,6800.4159011
1644.0,3757.52140918,2770.02546211,8170.77140324,5567.4374189,6800.82792198
1644.25,3757.5223336,2770.01242363,8170.87130326,5567.22457073,6801.23968227
1644.5,3757.52325684,2769.99940099,8170.97110453,5567.01190897,6801.65118208
1644.75,3757.52417889,2769.98639418,8171.07080712,5566.79943346,6802.06242152
1645.0,3757.52509976,2769.97340316,8171.17041107,5566.58714405,6802.47340069
1645.25,3757.52601946,2769.96042794,8171.26991643,5566.3750406,6802.8841197
1645.5,3757.52693798,2769.94746847,8171.36932323,5566.16312296,6803.29457866
1645.75,3757.52785532,2769.93452476,8171.46863154,5565.95139097,6803.70477768
1646.0,3757.52877149,2769.92159677,8171.56784138,5565.73984448,6804.11471686
1646.25,3757.52968649,2769.90868448,8171.6669528,5565.52848336,6804.52439632
1646.5,3757.53060031,2769.89578789,8171.76596583,5565.31730744,6804.93381615
1646.75,3757.53151297,2769.88290696,8171.86488052,5565.10631658,6805.34297647
1647.0,3757.53242445,2769.87004168,8171.9636969,5564.89551063,6805.75187739
1647.25,3757.53333477,2769.85719204,8172.06241499,5564.68488944,6806.16051902
1647.5,3757.53424392,2769.844358,8172.16103483,5564.47445287,6806.56890146
1647.75,3757.5351519,2769.83153955,8172.25955645,5564.26420076,6806.97702481
1648.0,3757.53605872,2769.81873668,8172.35797988,5564.05413297,6807.3848892
1648.25,3757.53696438,2769.80594936,8172.45630514,5563.84424934,6807.79249472
1648.5,3757.53786888,2769.79317757,8172.55453225,5563.63454973,6808.19984148
1648.75,3757.53877222,2769.7804213,8172.65266123,5563.425034,6808.60692959
1649.0,3757.53967439,2769.76768052,8172.7506921,5563.21570199,6809.01375917
1649.25,3757.54057542,2769.75495522,8172.84862488,5563.00655355,6809.42033031
1649.5,3757.54147528,2769.74224537,8172.94645959,5562.79758854,6809.82664312
1649.75,3757.54237399,2769.72955097,8173.04419623,5562.58880681,6810.23269772
1650.0,3757.54327155,2769.71687198,8173.14183482,5562.38020821,6810.63849421
1650.25,3757.54416795,2769.70420839,8173.23937536,5562.1717926,6811.0440327
1650.5,3757.5450632,2769.69156018,8173.33681786,5561.96355983,6811.44931329
1650.75,3757.54595731,2769.67892733,8173.43416233,5561.75550975,6811.8543361
1651.0,3757.54685026,2769.66630982,8173.53140876,5561.54764221,6812.25910122
1651.25,3757.54774207,2769.65370764,8173.62855715,5561.33995707,6812.66360878
1651.5,3757.54863273,2769.64112076,8173.72560751,5561.13245418,6813.06785888
1651.75,3757.54952225,2769.62854917,8173.82255983,5560.92513339,6813.47185162
1652.0,3757.55041063,2769.61599284,8173.91941409,5560.71799455,6813.87558711
1652.25,3757.55129786,2769.60345176,8174.0161703,5560.51103753,6814.27906547
1652.5,3757.55218395,2769.5909259,8174.11282844,5560.30426217,6814.68228679
1652.75,3757.5530689,2769.57841525,8174.20938849,5560.09766833,6815.08525119
1653.0,3757.55395271,2769.5659198,8174.30585044,5559.89125586,6815.48795877
1653.25,3757.55483539,2769.55343951,8174.40221427,5559.68502461,6815.89040965
1653.5,3757.55571693,2769.54097438,8174.49847995,5559.47897445,6816.29260392
1653.75,3757.55659734,2769.52852437,8174.59464748,5559.27310521,6816.69454171
1654.0,3757.55747661,2769.51608949,8174.69071681,5559.06741677,6817.0962231
1654.25,3757.55835475,2769.50366969,8174.78668792,5558.86190897,6817.49764822
1654.5,3757.55923176,2769.49126497,8174.88256079,5558.65658166,6817.89881717
1654.75,3757.56010764,2769.47887531,8174.97833536,5558.4514347,6818.29973006
1655.0,3757.56098239,2769.46650069,8175.07401162,5558.24646795,6818.700387
1655.25,3757.56185601,2769.45414108,8175.16958953,5558.04168126,6819.10078809
1655.5,3757.56272851,2769.44179648,8175.26506903,5557.83707449,6819.50093344
1655.75,3757.56359988,2769.42946686,8175.36045009,5557.63264749,6819.90082316
1656.0,3757.56447013,2769.4171522,8175.45573267,5557.42840011,6820.30045735
1656.25,3757.56533926,2769.40485248,8175.55091671,5557.22433221,6820.69983613
1656.5,3757.56620726,2769.39256769,8175.64600216,5557.02044366,6821.09895961
1656.75,3757.56707415,2769.3802978,8175.74098897,5556.81673429,6821.49782788
1657.0,3757.56793992,2769.3680428,8175.83587708,5556.61320397,6821.89644106
1657.25,3757.56880457,2769.35580267,8175.930667,5556.40985255,6822.29479925
1657.5,3757.5696681,2769.34357738,8176.02536107,5556.2066799,6822.69290257
1657.75,3757.57053052,2769.33136693,8176.11995966,5556.00368585,6823.09075112
1658.0,3757.57139182,2769.31917129,8176.21446287,5555.80087028,6823.488345
1658.25,3757.57225202,2769.30699044,8176.30887082,5555.59823304,6823.88568433
1658.5,3757.5731111,2769.29482437,8176.40318361,5555.39577398,6824.28276922
1658.75,3757.57396907,2769.28267305,8176.49740135,5555.19349296,6824.67959976
1659.0,3757.57482593,2769.27053647,8176.59152416,5554.99138984,6825.07617608
1659.25,3757.57568168,2769.25841461,8176.68555216,5554.78946447,6825.47249827
1659.5,3757.57653632,2769.24630744,8176.77948545,5554.58771671,6825.86856644
1659.75,3757.57738986,2769.23421496,8176.87332416,5554.38614642,6826.2643807
1660.0,3757.5782423,2769.22213713,8176.96706841,5554.18475346,6826.65994116
1660.25,3757.57909363,2769.21007395,8177.0607183,5553.98353767,6827.05524793
1660.5,3757.57994386,2769.1980254,8177.15427398,5553.78249892,6827.45030111
1660.75,3757.58079299,2769.18599145,8177.24773556,5553.58163707,6827.84510082
1661.0,3757.58164102,2769.17397209,8177.34110316,5553.38095197,6828.23964715
1661.25,3757.58248795,2769.16196729,8177.43437691,5553.18044348,6828.63394021
1661.5,3757.58333378,2769.14997705,8177.52755694,5552.98011146,6829.02798012
1661.75,3757.58417852,2769.13800133,8177.62064338,5552.77995577,6829.42176698
1662.0,3757.58502216,2769.12604013,8177.71363636,5552.57997626,6829.8153009
1662.25,3757.58586471,2769.11409343,8177.80653601,5552.38017279,6830.20858199
1662.5,3757.58670616,2769.10216119,8177.89934247,5552.18054522,6830.60161034
1662.75,3757.58754652,2769.09024342,8177.99205588,5551.98109341,6830.99438608
1663.0,3757.5883858,2769.07834008,8178.08467636,5551.78181721,6831.38690931
1663.25,3757.58922398,2769.06645116,8178.17720407,5551.58271649,6831.77918013
1663.5,3757.59006107,2769.05457664,8178.26963913,5551.38379111,6832.17119865
1663.75,3757.59089708,2769.04271651,8178.3619817,5551.18504092,6832.56296499
1664.0,3757.591732,2769.03087073,8178.45423192,5550.98646577,6832.95447924
1664.25,3757.59256584,2769.01903931,8178.54638994,5550.78806554,6833.34574151
1664.5,3757.59339859,2769.00722221,8178.6384559,5550.58984008,6833.73675192
1664.75,3757.59423026,2768.99541941,8178.73042995,5550.39178924,6834.12751056
1665.0,3757.59506084,2768.98363091,8178.82231226,5550.19391289,6834.51801756
1665.25,3757.59589035,2768.97185668,8178.91410296,5549.99621089,6834.908273
1665.5,3757.59671878,2768.9600967,8179.00580222,5549.79868309,6835.29827701
1665.75,3757.59754612,2768.94835095,8179.09741019,5549.60132936,6835.68802968
1666.0,3757.5983724,2768.93661942,8179.18892703,5549.40414955,6836.07753113
1666.25,3757.59919759,2768.92490209,8179.28035291,5549.20714337,6836.46678146
1666.5,3757.60002171,2768.91319893,8179.37168799,5549.01031063,6836.85578079
1666.75,3757.60084476,2768.90150994,8179.46293243,5548.81365118,6837.24452921
1667.0,3757.60166673,2768.88983509,8179.55408641,5548.61716488,6837.63302683
1667.25,3757.60248763,2768.87817436,8179.64515008,5548.42085159,6838.02127376
1667.5,3757.60330747,2768.86652773,8179.73612363,5548.22471115,6838.40927011
1667.75,3757.60412623,2768.85489519,8179.82700723,5548.02874343,6838.79701599
1668.0,3757.60494392,2768.84327672,8179.91780104,5547.83294828,6839.1845115
1668.25,3757.60576055,2768.8316723,8180.00850526,5547.63732555,6839.57175675
1668.5,3757.6065761,2768.82008191,8180.09912005,5547.4418751,6839.95875184
1668.75,3757.6073906,2768.80850553,8180.18964561,5547.24659679,6840.34549689
1669.0,3757.60820403,2768.79694314,8180.28008211,5547.05149047,6840.731992
1669.25,3757.6090164,2768.78539473,8180.37042975,5546.856556,6841.11823727
1669.5,3757.6098277,2768.77386028,8180.4606887,5546.66179323,6841.50423283
1669.75,3757.61063794,2768.76233977,8180.55085917,5546.46720202,6841.88997877
1670.0,3757.61144713,2768.75083318,8180.64094134,5546.27278223,6842.2754755
1670.25,3757.61225525,2768.73934049,8180.73093542,5546.07853371,6842.66072322
1670.5,3757.61306232,2768.72786168,8180.82084159,5545.88445632,6843.04572205
1670.75,3757.61386833,2768.71639674,8180.91066005,5545.69054991,6843.43047209
1671.0,3757.61467328,2768.70494565,8181.00039102,5545.49681434,6843.81497347
1671.25,3757.61547718,2768.69350839,8181.09003469,5545.30324947,6844.1992263
1671.5,3757.61628003,2768.68208493,8181.17959127,5545.10985515,6844.58323069
1671.75,3757.61708182,2768.67067527,8181.26906097,5544.91663124,6844.96698676
1672.0,3757.61788257,2768.65927938,8181.35844401,5544.7235776,6845.35049461
1672.25,3757.61868226,2768.64789725,8181.44774058,5544.53069408,6845.73375437
1672.5,3757.6194809,2768.63652886,8181.53695093,5544.33798055,6846.11676614
1672.75,3757.62027849,2768.62517418,8181.62607525,5544.14543684,6846.49953004
1673.0,3757.62107504,2768.61383321,8181.71511377,5543.95306283,6846.88204619
1673.25,3757.62187054,2768.60250592,8181.80406673,5543.76085838,6847.26431469
1673.5,3757.622665,2768.59119229,8181.89293433,5543.56882333,6847.64633566
1673.75,3757.62345841,2768.57989231,8181.98171682,5543.37695754,6848.02810922
1674.0,3757.62425077,2768.56860595,8182.07041441,5543.18526088,6848.40963548
1674.25,3757.6250421,2768.55733321,8182.15902736,5542.99373319,6848.79091455
1674.5,3757.62583238,2768.54607406,8182.24755518,5542.80237434,6849.17194655
1674.75,3757.62662162,2768.53482848,8182.33599568,5542.61118419,6849.55273158
1675.0,3757.62740983,2768.52359645,8182.42434872,5542.42016259,6849.93326977
1675.25,3757.62819699,2768.51237796,8182.51261439,5542.22930939,6850.31356123
1675.5,3757.62898312,2768.50117299,8182.60079273,5542.03862446,6850.69360608
1675.75,3757.62976821,2768.48998152,8182.68888382,5541.84810766,6851.07340442
1676.0,3757.63055227,2768.47880353,8182.7768877,5541.65775884,6851.45295637
1676.25,3757.63133529,2768.467639,8182.86480444,5541.46757786,6851.83226204
1676.5,3757.63211728,2768.45648793,8182.9526341,5541.27756457,6852.21132155
1676.75,3757.63289824,2768.44535027,8183.04037673,5541.08771885,6852.59013502
1677.0,3757.63367817,2768.43422603,8183.12803238,5540.89804053,6852.96870256
1677.25,3757.63445706,2768.42311518,8183.21560111,5540.70852949,6853.34702427
1677.5,3757.63523493,2768.4120177,8183.30308296,5540.51918558,6853.72510029
1677.75,3757.63601176,2768.40093357,8183.39047799,5540.33000866,6854.10293071
1678.0,3757.63678757,2768.38986278,8183.47778623,5540.14099858,6854.48051566
1678.25,3757.63756236,2768.37880531,8183.56500774,5539.95215521,6854.85785524
1678.5,3757.63833612,2768.36776114,8183.65214256,5539.7634784,6855.23494958
1678.75,3757.63910885,2768.35673025,8183.73919072,5539.57496801,6855.61179879
1679.0,3757.63988056,2768.34571263,8183.82615228,5539.38662391,6855.98840298
1679.25,3757.64065125,2768.33470825,8183.91302726,5539.19844595,6856.36476227
1679.5,3757.64142092,2768.3237171,8183.9998157,5539.01043398,6856.74087677
1679.75,3757.64218956,2768.31273916,8184.08651764,5538.82258787,6857.11674659
1680.0,3757.64295719,2768.30177441,8184.1731331,5538.63490748,6857.49237186
1680.25,3757.64372379,2768.29082283,8184.25966213,5538.44739266,6857.86775268
1680.5,3757.64448938,2768.2798844,8184.34610474,5538.26004328,6858.24288916
1680.75,3757.64525396,2768.26895912,8184.43246096,5538.07285919,6858.61778144
1681.0,3757.64601751,2768.25804695,8184.51873083,5537.88584025,6858.99242961
1681.25,3757.64678005,2768.24714789,8184.60491435,5537.69898633,6859.3668338
1681.5,3757.64754158,2768.2362619,8184.69101155,5537.51229728,6859.74099411
1681.75,3757.6483021,2768.22538898,8184.77702246,5537.32577295,6860.11491067
1682.0,3757.6490616,2768.21452919,8184.86294708,5537.13941322,6860.48858358
1682.25,3757.64982009,2768.20368256,8184.94878543,5536.95321794,6860.86201297
1682.5,3757.65057757,2768.19284908,8185.03453752,5536.76718697,6861.23519895
1682.75,3757.65133404,2768.18202873,8185.12020337,5536.58132017,6861.60814163
1683.0,3757.65208951,2768.1712215,8185.20578298,5536.39561739,6861.98084112
1683.25,3757.65284396,2768.16042737,8185.29127635,5536.21007851,6862.35329755
1683.5,3757.65359741,2768.14964632,8185.3766835,5536.02470338,6862.72551103
1683.75,3757.65434986,2768.13887834,8185.46200442,5535.83949185,6863.09748166
1684.0,3757.6551013,2768.12812342,8185.54723911,5535.65444379,6863.46920958
1684.25,3757.65585173,2768.11738152,8185.63238758,5535.46955907,6863.84069489
1684.5,3757.65660116,2768.10665265,8185.71744981,5535.28483753,6864.2119377
1684.75,3757.65734959,2768.09593678,8185.80242579,5535.10027904,6864.58293814
1685.0,3757.65809702,2768.0852339,8185.88731553,5534.91588347,6864.95369631
1685.25,3757.65884345,2768.07454399,8185.97211901,5534.73165066,6865.32421234
1685.5,3757.65958888,2768.06386703,8186.0568362,5534.54758049,6865.69448633
1685.75,3757.66033331,2768.05320302,8186.14146711,5534.3636728,6866.06451841
1686.0,3757.66107675,2768.04255192,8186.22601171,5534.17992747,6866.43430869
1686.25,3757.66181918,2768.03191374,8186.31046997,5533.99634436,6866.80385728
1686.5,3757.66256063,2768.02128844,8186.39484188,5533.81292332,6867.1731643
1686.75,3757.66330107,2768.01067602,8186.4791274,5533.62966421,6867.54222986
1687.0,3757.66404052,2768.00007646,8186.56332652,5533.4465669,6867.91105408
1687.25,3757.66477898,2767.98948974,8186.6474392,5533.26363125,6868.27963708
1687.5,3757.66551645,2767.97891585,8186.7314654,5533.08085711,6868.64797897
1687.75,3757.66625293,2767.96835478,8186.8154051,5532.89824436,6869.01607986
1688.0,3757.66698841,2767.95780649,8186.89925825,5532.71579285,6869.38393987
1688.25,3757.66772291,2767.94727099,8186.98302481,5532.53350243,6869.75155912
1688.5,3757.66845642,2767.93674825,8187.06670474,5532.35137299,6870.11893773
1688.75,3757.66918894,2767.92623826,8187.150298,5532.16940436,6870.4860758
1689.0,3757.66992047,2767.91574101,8187.23380453,5531.98759643,6870.85297345
1689.25,3757.67065101,2767.90525646,8187.31722429,5531.80594904,6871.2196308
1689.5,3757.67138058,2767.89478462,8187.40055722,5531.62446206,6871.58604797
1689.75,3757.67210915,2767.88432547,8187.48380326,5531.44313536,6871.95222507
1690.0,3757.67283675,2767.87387898,8187.56696236,5531.26196879,6872.31816221
1690.25,3757.67356336,2767.86344515,8187.65003446,5531.08096221,6872.68385951
1690.5,3757.67428898,2767.85302395,8187.73301949,5530.90011549,6873.04931709
1690.75,3757.67501363,2767.84261538,8187.81591738,5530.71942849,6873.41453507
1691.0,3757.6757373,2767.83221942,8187.89872807,5530.53890108,6873.77951355
1691.25,3757.67645999,2767.82183604,8187.98145148,5530.3585331,6874.14425265
1691.5,3757.6771817,2767.81146524,8188.06408753,5530.17832444,6874.5087525
1691.75,3757.67790243,2767.801107,8188.14663704,5529.99827494,6874.8730132
1692.0,3757.67862218,2767.7907613,8188.22910235,5529.81838447,6875.23703488
1692.25,3757.67934096,2767.78042813,8188.31148369,5529.6386529,6875.60081764
1692.5,3757.68005877,2767.77010747,8188.39378115,5529.45908009,6875.96436161
1692.75,3757.6807756,2767.75979931,8188.47599484,5529.27966589,6876.32766689
1693.0,3757.68149145,2767.74950363,8188.55812486,5529.10041017,6876.69073361
1693.25,3757.68220634,2767.73922042,8188.64017131,5528.9213128,6877.05356189
1693.5,3757.68292025,2767.72894965,8188.7221343,5528.74237364,6877.41615183
1693.75,3757.68363319,2767.71869132,8188.80401394,5528.56359255,6877.77850355
1694.0,3757.68434516,2767.70844541,8188.88581033,5528.38496939,6878.14061718
1694.25,3757.68505616,2767.69821191,8188.96752357,5528.20650403,6878.50249282
1694.5,3757.68576619,2767.68799079,8189.04915379,5528.02819632,6878.86413059
1694.75,3757.68647526,2767.67778204,8189.1307011,5527.85004614,6879.22553061
1695.0,3757.68718335,2767.66758565,8189.2121656,5527.67205335,6879.58669299
1695.25,3757.68789049,2767.6574016,8189.29354742,5527.49421781,6879.94761786
1695.5,3757.68859665,2767.64722988,8189.37484667,5527.31653937,6880.30830532
1695.75,3757.68930185,2767.63707047,8189.45606347,5527.13901792,6880.6687555
1696.0,3757.69000609,2767.62692335,8189.53719794,5526.96165331,6881.0289685
1696.25,3757.69070937,2767.61678852,8189.61825021,5526.7844454,6881.38894445
1696.5,3757.69141168,2767.60666594,8189.6992204,5526.60739405,6881.74868346
1696.75,3757.69211303,2767.59655562,8189.78010863,5526.43049914,6882.10818566
1697.0,3757.69281342,2767.58645753,8189.86091504,5526.25376062,6882.46745114
1697.25,3757.69351285,2767.57637166,8189.94163974,5526.07717865,6882.82648004
1697.5,3757.69421132,2767.56629799,8190.02228288,5525.90075315,6883.18527246
1697.75,3757.69490883,2767.55623651,8190.10284459,5525.72448398,6883.54382853
1698.0,3757.69560539,2767.5461872,8190.18332499,5525.54837102,6883.90214836
1698.25,3757.69630099,2767.53615005,8190.26372424,5525.37241415,6884.26023207
1698.5,3757.69699563,2767.52612504,8190.34404246,5525.19661324,6884.61807977
1698.75,3757.69768932,2767.51611216,8190.4242798,5525.02096817,6884.97569158
1699.0,3757.69838205,2767.50611139,8190.50443639,5524.8454788,6885.33306762
1699.25,3757.69907383,2767.49612271,8190.5845124,5524.67014502,6885.690208
1699.5,3757.69976466,2767.48614612,8190.66450795,5524.49496671,6886.04711284
1699.75,3757.70045453,2767.47618159,8190.7444232,5524.31994373,6886.40378226
1700.0,3757.70114345,2767.46622911,8190.8242583,5524.14507596,6886.76021638
1700.25,3757.70183143,2767.45628866,8190.90401341,5523.97036329,6887.1164153
1700.5,3757.70251845,2767.44636024,8190.98368867,5523.79580558,6887.47237915
1700.75,3757.70320452,2767.43644382,8191.06328424,5523.62140271,6887.82810804
1701.0,3757.70388965,2767.42653939,8191.14280029,5523.44715456,6888.1836021
1701.25,3757.70457383,2767.41664693,8191.22223697,5523.273061,6888.53886143
1701.5,3757.70525706,2767.40676644,8191.30159444,5523.09912192,6888.89388615
1701.75,3757.70593934,2767.39689788,8191.38087288,5522.92533719,6889.24867639
1702.0,3757.70662068,2767.38704126,8191.46007244,5522.75170669,6889.60323226
1702.25,3757.70730107,2767.37719655,8191.5391933,5522.57823028,6889.95755387
1702.5,3757.70798054,2767.36736374,8191.61823563,5522.40490786,6890.31164134
1702.75,3757.70865911,2767.35754281,8191.6971996,5522.2317393,6890.66549479
1703.0,3757.70933677,2767.34773376,8191.77608539,5522.05872448,6891.01911434
1703.25,3757.71001352,2767.33793655,8191.85489318,5521.88586327,6891.3725001
1703.5,3757.71068936,2767.32815119,8191.93362315,5521.71315555,6891.72565219
1703.75,3757.71136431,2767.31837765,8192.01227548,5521.5406012,6892.07857072
1704.0,3757.71203835,2767.30861591,8192.09085035,5521.3682001,6892.43125583
1704.25,3757.71271148,2767.29886597,8192.16934796,5521.19595213,6892.78370761
1704.5,3757.71338372,2767.28912781,8192.2477685,5521.02385717,6893.13592619
1704.75,3757.71405506,2767.27940142,8192.32611215,5520.85191509,6893.48791169
1705.0,3757.7147255,2767.26968677,8192.40437912,5520.68012578,6893.83966422
1705.25,3757.71539504,2767.25998386,8192.48256959,5520.50848911,6894.1911839
1705.5,3757.71606369,2767.25029266,8192.56068377,5520.33700496,6894.54247084
1705.75,3757.71673144,2767.24061317,8192.63872187,5520.16567322,6894.89352518
1706.0,3757.7173983,2767.23094537,8192.71668408,5519.99449376,6895.24434701
