,score,a,a,a,a,k,k,k,k,b,u,u,u,u,n
,0,0,1,2,3,0,1,2,3,0,0,1,2,3,0
,,,,,,,,,,,,,,,
27,0.417395531,1.424966267,0.610125904,0.854055802,0.790337869,0.554594388,0.221988346,0.168811253,0.125054897,0.13,0.46313957,0.46313957,0.46313957,0.46313957,1.80000001
28,0.417554533,1.426847086,0.508289077,0.721436298,0.668987222,0.762847751,0.298316402,0.230562452,0.172023266,0.129999907,0.389998666,0.389998666,0.389998666,0.389998666,1.8
29,0.417443554,1.425133992,0.405968408,0.5708815,0.532086322,1.14700769,0.455760144,0.348695752,0.262905888,0.13000001,0.309425556,0.309425556,0.309425556,0.309425556,1.8
30,0.419767998,1.434643472,0.36113657,0.506346149,0.481917211,1.451664077,0.576818155,0.432967921,0.339382696,0.129962486,0.274609407,0.274609407,0.274609407,0.274609407,1.786778346
31,0.419097304,1.426367343,0.366850972,0.490237077,0.457012349,1.457403356,0.618214302,0.433801742,0.321908553,0.129908453,0.269750035,0.269750035,0.269750035,0.269750035,1.797250636
32,0.417408345,1.425262417,0.457207819,0.641948908,0.596233793,0.928516216,0.369770752,0.282341291,0.211006992,0.129999955,0.347992299,0.347992299,0.347992299,0.347992299,1.8
33,0.417395841,1.425002176,0.655927505,0.91866739,0.850250568,0.486535661,0.194603564,0.148140799,0.109794899,0.13,0.498076417,0.498076417,0.498076417,0.498076417,1.80000001
34,0.417395575,1.424863244,0.509064031,0.712831602,0.65946582,0.767970748,0.307340484,0.2338854,0.173182059,0.130000001,0.386487879,0.386487879,0.386487879,0.386487879,1.8
35,0.417395254,1.424990494,0.370137525,0.518491415,0.479803724,1.36276521,0.544933291,0.4148544,0.307439601,0.13000001,0.281101242,0.281101242,0.281101242,0.281101242,1.8
36,0.417395265,1.425015142,0.379327225,0.531234151,0.491536364,1.304287854,0.521644776,0.3969228,0.294061674,0.13000001,0.288051561,0.288051561,0.288051561,0.288051561,1.8
37,0.419330823,1.434615476,0.397002294,0.54651691,0.508053294,1.226016147,0.485104684,0.352508506,0.262882992,0.129886814,0.300969379,0.300969379,0.300969379,0.300969379,1.798508168
38,0.417394911,1.424879674,0.535307637,0.74962818,0.693531964,0.701623787,0.280745616,0.213633067,0.15822286,0.13,0.406423612,0.406423612,0.406423612,0.406423612,1.8
39,0.417513405,1.427072989,0.476075883,0.67202312,0.625683211,0.855960114,0.337316671,0.260490308,0.195473016,0.13000001,0.364492725,0.364492725,0.364492725,0.364492725,1.8
40,0.417398066,1.42473547,0.400448492,0.56140553,0.518991079,1.181492561,0.47214789,0.360207686,0.266406269,0.13000001,0.304206026,0.304206026,0.304206026,0.304206026,1.8
41,0.417777246,1.425449178,0.449509752,0.628621081,0.585862294,0.955550319,0.384379306,0.295502187,0.224042814,0.13000001,0.340334953,0.340334953,0.340334953,0.340334953,1.8
42,0.417432065,1.425415862,0.453586234,0.629946041,0.583979034,0.953871411,0.385059951,0.288599018,0.214248919,0.13000001,0.342667416,0.342667416,0.342667416,0.342667416,1.8
43,0.428054255,1.400702558,0.462730491,0.696773531,0.635742226,0.914273527,0.376881905,0.325772085,0.242960279,0.128865344,0.35509384,0.35509384,0.35509384,0.35509384,1.742909857
44,0.417395686,1.424970518,0.690883797,0.967048497,0.894851458,0.44348059,0.177513309,0.134962842,0.1,0.13,0.5244132,0.5244132,0.5244132,0.5244132,1.8
45,0.417396793,1.424759402,0.390783679,0.547222204,0.506436124,1.236438447,0.494666918,0.376107341,0.278838782,0.130000002,0.296677012,0.296677012,0.296677012,0.296677012,1.8
46,0.42023337,1.430117334,0.420413364,0.595591363,0.555509785,1.094759809,0.441855828,0.348667855,0.265662795,0.13000001,0.318551736,0.318551736,0.318551736,0.318551736,1.782952173
47,0.423244152,1.434759546,0.39987926,0.53989509,0.52753041,1.262121087,0.5320572,0.370834754,0.301184633,0.13000001,0.297487746,0.297487746,0.297487746,0.297487746,1.77507679
48,0.41739529,1.424959112,0.358131632,0.501599075,0.464145401,1.446301458,0.578475506,0.440265882,0.326216479,0.13000001,0.271952594,0.271952594,0.271952594,0.271952594,1.8
49,0.417479562,1.423199505,0.390852023,0.547780048,0.50714436,1.232201867,0.494145102,0.377598543,0.281005752,0.129948371,0.296631761,0.296631761,0.296631761,0.296631761,1.8
50,0.418282032,1.423895212,0.39270793,0.538581361,0.492003389,1.254943554,0.520351474,0.390615587,0.286140769,0.13000001,0.292014101,0.292014101,0.292014101,0.292014101,1.8
51,0.417395283,1.424893325,0.426038335,0.596683883,0.552073823,1.057898696,0.423235698,0.322170813,0.238625349,0.13,0.323497297,0.323497297,0.323497297,0.323497297,1.8
52,0.418150742,1.427617221,0.474378211,0.669406525,0.622471036,0.87813646,0.347928208,0.2668294,0.20278096,0.13000001,0.360926636,0.360926636,0.360926636,0.360926636,1.796568006
53,0.417395372,1.425118325,0.464131555,0.649831816,0.601422419,0.907394425,0.362933668,0.275988324,0.204546656,0.13000001,0.352407722,0.352407722,0.352407722,0.352407722,1.8
54,0.418011118,1.418916517,0.369479662,0.518291521,0.473717234,1.351479894,0.549284564,0.426473786,0.30826013,0.129985936,0.27886767,0.27886767,0.27886767,0.27886767,1.8
55,0.4173951,1.42496305,0.454449075,0.636342871,0.588782707,0.942322288,0.377017414,0.286818183,0.212478417,0.13000001,0.345030422,0.345030422,0.345030422,0.345030422,1.8
56,0.417562617,1.424619309,0.433877,0.615329106,0.574840053,1.005419087,0.395446171,0.307474886,0.233723091,0.13,0.332664164,0.332664164,0.332664164,0.332664164,1.80000001
57,0.421845177,1.427427436,0.444775016,0.586515552,0.554644843,1.060751999,0.462222074,0.313111897,0.235738843,0.129836629,0.324663913,0.324663913,0.324663913,0.324663913,1.784806025
58,0.417422326,1.425422608,0.383079977,0.537095731,0.499913829,1.277346518,0.509000445,0.387558495,0.291051437,0.13000001,0.291423941,0.291423941,0.291423941,0.291423941,1.8
59,0.417397502,1.424931793,0.553850792,0.776822526,0.71816465,0.659110482,0.263235333,0.200855627,0.148589202,0.13000001,0.42089207,0.42089207,0.42089207,0.42089207,1.8
60,0.417396114,1.425087062,0.418818937,0.586745826,0.542844622,1.091187891,0.436098409,0.331876762,0.24578934,0.13000001,0.318097409,0.318097409,0.318097409,0.318097409,1.8
61,0.417395252,1.424936222,0.36444669,0.510325008,0.472182159,1.40184156,0.560895789,0.426733225,0.316112701,0.13000001,0.276698674,0.276698674,0.276698674,0.276698674,1.8
62,0.417395828,1.424937488,0.423235841,0.592675287,0.548439175,1.070950829,0.428469131,0.325992693,0.241551299,0.13000001,0.321347425,0.321347425,0.321347425,0.321347425,1.8
63,0.417588329,1.424009428,0.459301675,0.65014475,0.595074531,0.916813928,0.363589246,0.283945908,0.207446083,0.13000001,0.349897187,0.349897187,0.349897187,0.349897187,1.8
64,0.417395257,1.424962187,0.354505678,0.496640659,0.459640868,1.472534129,0.588763236,0.448275577,0.332288455,0.13,0.269255147,0.269255147,0.269255147,0.269255147,1.80000001
65,0.419307168,1.427916885,0.511456464,0.73399023,0.707219089,0.728197824,0.280316742,0.224605387,0.183286026,0.13000001,0.397149598,0.397149598,0.397149598,0.397149598,1.8
66,0.41740713,1.425550747,0.488152818,0.685733814,0.636377675,0.825233896,0.328231335,0.250850173,0.187173309,0.129999827,0.371697717,0.371697717,0.371697717,0.371697717,1.8
67,0.417830602,1.42173678,0.382213157,0.529690073,0.481521929,1.308730669,0.535450756,0.401720752,0.28334153,0.13000001,0.287279579,0.287279579,0.287279579,0.287279579,1.8
68,0.417750182,1.419982549,0.417099925,0.588314031,0.536187471,1.097341655,0.440568644,0.338352548,0.244391559,0.13000001,0.31650867,0.31650867,0.31650867,0.31650867,1.799918672
69,0.417603845,1.426348165,0.369450927,0.522065882,0.490938591,1.350098235,0.530581973,0.407796678,0.313198077,0.13,0.283200279,0.283200279,0.283200279,0.283200279,1.8
70,0.420473081,1.417214249,0.450414523,0.654242429,0.597837977,0.92790876,0.361806966,0.29707314,0.225284175,0.129659605,0.346612005,0.346612005,0.346612005,0.346612005,1.793534417
71,0.417404213,1.42561189,0.371202101,0.520292139,0.480893138,1.357232344,0.541429945,0.412092006,0.304972428,0.129999971,0.282090829,0.282090829,0.282090829,0.282090829,1.80000001
72,0.417395519,1.42476463,0.440962668,0.617494215,0.571135299,0.994807209,0.398181792,0.302984043,0.224318426,0.13,0.334738865,0.334738865,0.334738865,0.334738865,1.8
73,0.421082352,1.424044182,0.447395496,0.645912726,0.601084821,0.968304618,0.391470574,0.315769384,0.235417681,0.13000001,0.341970181,0.341970181,0.341970181,0.341970181,1.777231405
74,0.420723113,1.432800436,0.375450309,0.534314491,0.495637292,1.351958399,0.526095816,0.401713252,0.300060775,0.129766431,0.289482426,0.289482426,0.289482426,0.289482426,1.785251932
75,0.429377668,1.40627212,0.521546312,0.82095371,0.745350427,0.658367034,0.230271096,0.210499961,0.151799237,0.128603089,0.432795629,0.432795629,0.432795629,0.432795629,1.791167295
76,0.417728688,1.422067399,0.532070219,0.746514303,0.682613805,0.7088014,0.28554608,0.220834667,0.162154099,0.13000001,0.40216274,0.40216274,0.40216274,0.40216274,1.8
77,0.417401108,1.42462804,0.425535104,0.596794758,0.552465414,1.058412674,0.423175437,0.323200279,0.239703451,0.129999891,0.323263278,0.323263278,0.323263278,0.323263278,1.80000001
78,0.417395374,1.42497768,0.480381478,0.672889713,0.622551652,0.852534948,0.340933107,0.259477877,0.192188092,0.13000001,0.364805238,0.364805238,0.364805238,0.364805238,1.8
79,0.417395102,1.424951674,0.380482296,0.532815493,0.49302153,1.297243493,0.518969445,0.394846942,0.292531676,0.13000001,0.288893551,0.288893551,0.288893551,0.288893551,1.8
80,0.419852556,1.413623897,0.448498318,0.639097616,0.584370267,0.963263768,0.396304938,0.313832068,0.228040598,0.13000001,0.339314314,0.339314314,0.339314314,0.339314314,1.790079873
81,0.417650776,1.42223555,0.377725577,0.522156052,0.477097207,1.335456694,0.549321902,0.412217016,0.296980986,0.13000001,0.282802964,0.282802964,0.282802964,0.282802964,1.8
82,0.417395178,1.424886046,0.415327335,0.581410046,0.537832597,1.108383415,0.443685039,0.337401565,0.249791737,0.13000001,0.315258423,0.315258423,0.315258423,0.315258423,1.8
83,0.417420491,1.425078188,0.435593137,0.613400731,0.569730851,1.010092109,0.400905501,0.307604425,0.230065751,0.13000001,0.332172829,0.332172829,0.332172829,0.332172829,1.8
84,0.421202246,1.42340649,0.371417093,0.530495372,0.512221848,1.326601954,0.531496117,0.419381081,0.341977668,0.13000001,0.284432767,0.284432767,0.284432767,0.284432767,1.783809392
85,0.419289003,1.419808887,0.357693001,0.513374101,0.477470085,1.394111975,0.555914426,0.451986038,0.342545278,0.130000005,0.273711383,0.273711383,0.273711383,0.273711383,1.799999995
86,0.424413829,1.425589034,0.568009679,0.784552099,0.740903951,0.696651697,0.30708697,0.226235256,0.173952229,0.129996904,0.416962894,0.416962894,0.416962894,0.416962894,1.752203226
87,0.417677162,1.421073533,0.403716987,0.574990302,0.529612013,1.145838645,0.454088094,0.357729969,0.264762697,0.13000001,0.308572265,0.308572265,0.308572265,0.308572265,1.8
88,0.418924837,1.425033345,0.363490242,0.507523598,0.457306973,1.421142964,0.578267407,0.446222075,0.311112145,0.129814715,0.273747486,0.273747486,0.273747486,0.273747486,1.797903713
89,0.417410374,1.42560001,0.35921652,0.503734914,0.467821663,1.435578086,0.572575042,0.436775783,0.326367059,0.13,0.273160743,0.273160743,0.273160743,0.273160743,1.80000001
90,0.420817692,1.427872682,0.370041441,0.498295219,0.465258653,1.462805917,0.614305516,0.422754431,0.309684695,0.13,0.273930954,0.273930954,0.273930954,0.273930954,1.790127476
91,0.417395191,1.424934958,0.394043217,0.551896816,0.510644669,1.217776693,0.487106593,0.370726918,0.274643593,0.13000001,0.299213928,0.299213928,0.299213928,0.299213928,1.8
92,0.420382324,1.414308366,0.352247828,0.504926222,0.460143635,1.460665342,0.599636966,0.487227982,0.3486238,0.13000001,0.267018417,0.267018417,0.267018417,0.267018417,1.790616371
93,0.417395365,1.424946652,0.65558979,0.917963247,0.849372925,0.487223116,0.1949452,0.148294803,0.109855989,0.13,0.497740937,0.497740937,0.497740937,0.497740937,1.80000001
94,0.417727619,1.426909845,0.374869009,0.519128837,0.486978852,1.341025632,0.538870871,0.398052375,0.300561187,0.13000001,0.284042388,0.284042388,0.284042388,0.284042388,1.8
95,0.420919233,1.430264592,0.367800024,0.495891168,0.465703541,1.429001564,0.581590614,0.415231893,0.322257142,0.129302676,0.274090135,0.274090135,0.274090135,0.274090135,1.799022517
96,0.417483632,1.421885544,0.362306515,0.506550887,0.464512817,1.418047279,0.573502125,0.437455608,0.317696374,0.13000001,0.273955703,0.273955703,0.273955703,0.273955703,1.8
97,0.425057663,1.422198585,0.412500948,0.559718355,0.52561005,1.151467618,0.480375611,0.349149508,0.260508755,0.129697788,0.303673832,0.303673832,0.303673832,0.303673832,1.791227908
98,0.45488094,1.428387841,0.367817334,0.623144712,0.607175411,1.227941951,0.371764743,0.362000092,0.314993439,0.127295084,0.325913508,0.325913508,0.325913508,0.325913508,1.750044481
99,0.433379899,1.422189602,0.353633956,0.513427904,0.486355723,1.374790204,0.507124219,0.392722342,0.291633206,0.128831551,0.287438219,0.287438219,0.287438219,0.287438219,1.792841697
